,date,frequancy
24801,12/1/2009 0:00,2270
24802,12/1/2009 1:00,841
24803,12/1/2009 2:00,699
24804,12/1/2009 3:00,510
24805,12/1/2009 4:00,546
24806,12/1/2009 5:00,483
24807,12/1/2009 6:00,618
24808,12/1/2009 7:00,913
24809,12/1/2009 8:00,1124
24810,12/1/2009 9:00,1273
24811,12/1/2009 10:00,1431
24812,12/1/2009 11:00,1601
24813,12/1/2009 12:00,1640
24814,12/1/2009 13:00,1646
24815,12/1/2009 14:00,1593
24816,12/1/2009 15:00,1678
24817,12/1/2009 16:00,1461
24818,12/1/2009 17:00,1558
24819,12/1/2009 18:00,1445
24820,12/1/2009 19:00,1460
24821,12/1/2009 20:00,1500
24822,12/1/2009 21:00,1501
24823,12/1/2009 22:00,1205
24824,12/1/2009 23:00,1100
24825,12/2/2009 0:00,2045
24826,12/2/2009 1:00,609
24827,12/2/2009 2:00,540
24828,12/2/2009 3:00,370
24829,12/2/2009 4:00,370
24830,12/2/2009 5:00,329
24831,12/2/2009 6:00,507
24832,12/2/2009 7:00,664
24833,12/2/2009 8:00,949
24834,12/2/2009 9:00,1013
24835,12/2/2009 10:00,1317
24836,12/2/2009 11:00,1455
24837,12/2/2009 12:00,1345
24838,12/2/2009 13:00,1459
24839,12/2/2009 14:00,1395
24840,12/2/2009 15:00,1374
24841,12/2/2009 16:00,1318
24842,12/2/2009 17:00,1221
24843,12/2/2009 18:00,1181
24844,12/2/2009 19:00,1267
24845,12/2/2009 20:00,1385
24846,12/2/2009 21:00,1160
24847,12/2/2009 22:00,1075
24848,12/2/2009 23:00,873
24849,12/3/2009 0:00,1659
24850,12/3/2009 1:00,599
24851,12/3/2009 2:00,360
24852,12/3/2009 3:00,218
24853,12/3/2009 4:00,145
24854,12/3/2009 5:00,213
24855,12/3/2009 6:00,301
24856,12/3/2009 7:00,566
24857,12/3/2009 8:00,664
24858,12/3/2009 9:00,833
24859,12/3/2009 10:00,1028
24860,12/3/2009 11:00,1197
24861,12/3/2009 12:00,1127
24862,12/3/2009 13:00,1378
24863,12/3/2009 14:00,1157
24864,12/3/2009 15:00,1148
24865,12/3/2009 16:00,1268
24866,12/3/2009 17:00,1062
24867,12/3/2009 18:00,1113
24868,12/3/2009 19:00,1115
24869,12/3/2009 20:00,1197
24870,12/3/2009 21:00,1045
24871,12/3/2009 22:00,1017
24872,12/3/2009 23:00,965
24873,12/4/2009 0:00,1690
24874,12/4/2009 1:00,532
24875,12/4/2009 2:00,375
24876,12/4/2009 3:00,329
24877,12/4/2009 4:00,255
24878,12/4/2009 5:00,255
24879,12/4/2009 6:00,333
24880,12/4/2009 7:00,530
24881,12/4/2009 8:00,963
24882,12/4/2009 9:00,1264
24883,12/4/2009 10:00,1358
24884,12/4/2009 11:00,1478
24885,12/4/2009 12:00,1551
24886,12/4/2009 13:00,1642
24887,12/4/2009 14:00,1467
24888,12/4/2009 15:00,1409
24889,12/4/2009 16:00,1419
24890,12/4/2009 17:00,1332
24891,12/4/2009 18:00,1389
24892,12/4/2009 19:00,1208
24893,12/4/2009 20:00,1162
24894,12/4/2009 21:00,984
24895,12/4/2009 22:00,1060
24896,12/4/2009 23:00,945
24897,12/5/2009 0:00,2177
24898,12/5/2009 1:00,715
