,date,frequancy
25545,1/1/2010 0:00,1834
25546,1/1/2010 1:00,428
25547,1/1/2010 2:00,379
25548,1/1/2010 3:00,228
25549,1/1/2010 4:00,146
25550,1/1/2010 5:00,102
25551,1/1/2010 6:00,62
25552,1/1/2010 7:00,45
25553,1/1/2010 8:00,134
25554,1/1/2010 9:00,203
25555,1/1/2010 10:00,359
25556,1/1/2010 11:00,358
25557,1/1/2010 12:00,421
25558,1/1/2010 13:00,468
25559,1/1/2010 14:00,492
25560,1/1/2010 15:00,542
25561,1/1/2010 16:00,446
25562,1/1/2010 17:00,436
25563,1/1/2010 18:00,452
25564,1/1/2010 19:00,490
25565,1/1/2010 20:00,476
25566,1/1/2010 21:00,481
25567,1/1/2010 22:00,497
25568,1/1/2010 23:00,415
25569,1/2/2010 0:00,1726
25570,1/2/2010 1:00,295
25571,1/2/2010 2:00,243
25572,1/2/2010 3:00,164
25573,1/2/2010 4:00,96
25574,1/2/2010 5:00,52
25575,1/2/2010 6:00,65
25576,1/2/2010 7:00,94
25577,1/2/2010 8:00,211
25578,1/2/2010 9:00,247
25579,1/2/2010 10:00,292
25580,1/2/2010 11:00,393
25581,1/2/2010 12:00,403
25582,1/2/2010 13:00,501
25583,1/2/2010 14:00,524
25584,1/2/2010 15:00,530
25585,1/2/2010 16:00,476
25586,1/2/2010 17:00,483
25587,1/2/2010 18:00,545
25588,1/2/2010 19:00,614
25589,1/2/2010 20:00,614
25590,1/2/2010 21:00,602
25591,1/2/2010 22:00,593
25592,1/2/2010 23:00,441
25593,1/3/2010 0:00,1887
25594,1/3/2010 1:00,369
25595,1/3/2010 2:00,275
25596,1/3/2010 3:00,180
25597,1/3/2010 4:00,111
25598,1/3/2010 5:00,77
25599,1/3/2010 6:00,107
25600,1/3/2010 7:00,81
25601,1/3/2010 8:00,181
25602,1/3/2010 9:00,186
25603,1/3/2010 10:00,258
25604,1/3/2010 11:00,300
25605,1/3/2010 12:00,464
25606,1/3/2010 13:00,643
25607,1/3/2010 14:00,688
25608,1/3/2010 15:00,543
25609,1/3/2010 16:00,504
25610,1/3/2010 17:00,545
25611,1/3/2010 18:00,569
25612,1/3/2010 19:00,542
25613,1/3/2010 20:00,608
25614,1/3/2010 21:00,571
25615,1/3/2010 22:00,585
25616,1/3/2010 23:00,522
25617,1/4/2010 0:00,2020
25618,1/4/2010 1:00,226
25619,1/4/2010 2:00,217
25620,1/4/2010 3:00,134
25621,1/4/2010 4:00,107
25622,1/4/2010 5:00,119
25623,1/4/2010 6:00,163
25624,1/4/2010 7:00,236
25625,1/4/2010 8:00,329
25626,1/4/2010 9:00,356
25627,1/4/2010 10:00,426
25628,1/4/2010 11:00,525
25629,1/4/2010 12:00,620
25630,1/4/2010 13:00,537
25631,1/4/2010 14:00,542
25632,1/4/2010 15:00,565
25633,1/4/2010 16:00,529
25634,1/4/2010 17:00,525
25635,1/4/2010 18:00,600
25636,1/4/2010 19:00,655
25637,1/4/2010 20:00,716
25638,1/4/2010 21:00,634
25639,1/4/2010 22:00,698
25640,1/4/2010 23:00,497
25641,1/5/2010 0:00,2452
25642,1/5/2010 1:00,307
25643,1/5/2010 2:00,201
25644,1/5/2010 3:00,124
25645,1/5/2010 4:00,79
25646,1/5/2010 5:00,99
25647,1/5/2010 6:00,168
25648,1/5/2010 7:00,273
25649,1/5/2010 8:00,329
25650,1/5/2010 9:00,365
25651,1/5/2010 10:00,536
25652,1/5/2010 11:00,615
25653,1/5/2010 12:00,529
25654,1/5/2010 13:00,602
25655,1/5/2010 14:00,591
25656,1/5/2010 15:00,560
25657,1/5/2010 16:00,536
25658,1/5/2010 17:00,555
25659,1/5/2010 18:00,600
25660,1/5/2010 19:00,667
25661,1/5/2010 20:00,726
25662,1/5/2010 21:00,816
25663,1/5/2010 22:00,652
25664,1/5/2010 23:00,601
25665,1/6/2010 0:00,2456
25666,1/6/2010 1:00,328
25667,1/6/2010 2:00,199
25668,1/6/2010 3:00,140
25669,1/6/2010 4:00,97
25670,1/6/2010 5:00,92
25671,1/6/2010 6:00,146
25672,1/6/2010 7:00,295
25673,1/6/2010 8:00,355
25674,1/6/2010 9:00,450
25675,1/6/2010 10:00,561
25676,1/6/2010 11:00,626
25677,1/6/2010 12:00,644
25678,1/6/2010 13:00,656
25679,1/6/2010 14:00,655
25680,1/6/2010 15:00,630
25681,1/6/2010 16:00,602
25682,1/6/2010 17:00,620
25683,1/6/2010 18:00,644
25684,1/6/2010 19:00,578
25685,1/6/2010 20:00,648
25686,1/6/2010 21:00,690
25687,1/6/2010 22:00,657
25688,1/6/2010 23:00,589
25689,1/7/2010 0:00,2664
25690,1/7/2010 1:00,335
25691,1/7/2010 2:00,182
25692,1/7/2010 3:00,145
25693,1/7/2010 4:00,107
25694,1/7/2010 5:00,101
25695,1/7/2010 6:00,130
25696,1/7/2010 7:00,242
25697,1/7/2010 8:00,383
25698,1/7/2010 9:00,482
25699,1/7/2010 10:00,555
25700,1/7/2010 11:00,622
25701,1/7/2010 12:00,734
25702,1/7/2010 13:00,634
25703,1/7/2010 14:00,658
25704,1/7/2010 15:00,611
25705,1/7/2010 16:00,615
25706,1/7/2010 17:00,648
25707,1/7/2010 18:00,616
25708,1/7/2010 19:00,860
25709,1/7/2010 20:00,856
25710,1/7/2010 21:00,841
25711,1/7/2010 22:00,782
25712,1/7/2010 23:00,615
25713,1/8/2010 0:00,2168
25714,1/8/2010 1:00,270
25715,1/8/2010 2:00,191
25716,1/8/2010 3:00,172
25717,1/8/2010 4:00,90
25718,1/8/2010 5:00,165
25719,1/8/2010 6:00,224
25720,1/8/2010 7:00,335
25721,1/8/2010 8:00,448
25722,1/8/2010 9:00,518
25723,1/8/2010 10:00,582
25724,1/8/2010 11:00,621
25725,1/8/2010 12:00,715
25726,1/8/2010 13:00,684
25727,1/8/2010 14:00,725
25728,1/8/2010 15:00,597
