,date,frequancy
23337,10/1/2009 0:00,771
23338,10/1/2009 1:00,155
23339,10/1/2009 2:00,101
23340,10/1/2009 3:00,98
23341,10/1/2009 4:00,69
23342,10/1/2009 5:00,96
23343,10/1/2009 6:00,156
23344,10/1/2009 7:00,244
23345,10/1/2009 8:00,374
23346,10/1/2009 9:00,415
23347,10/1/2009 10:00,531
23348,10/1/2009 11:00,564
23349,10/1/2009 12:00,627
23350,10/1/2009 13:00,582
23351,10/1/2009 14:00,518
23352,10/1/2009 15:00,455
23353,10/1/2009 16:00,501
23354,10/1/2009 17:00,516
23355,10/1/2009 18:00,463
23356,10/1/2009 19:00,554
23357,10/1/2009 20:00,442
23358,10/1/2009 21:00,430
23359,10/1/2009 22:00,454
23360,10/1/2009 23:00,311
23361,10/2/2009 0:00,755
23362,10/2/2009 1:00,214
23363,10/2/2009 2:00,122
23364,10/2/2009 3:00,137
23365,10/2/2009 4:00,101
23366,10/2/2009 5:00,118
23367,10/2/2009 6:00,145
23368,10/2/2009 7:00,239
23369,10/2/2009 8:00,401
23370,10/2/2009 9:00,533
23371,10/2/2009 10:00,669
23372,10/2/2009 11:00,643
23373,10/2/2009 12:00,674
23374,10/2/2009 13:00,619
23375,10/2/2009 14:00,486
23376,10/2/2009 15:00,542
23377,10/2/2009 16:00,594
23378,10/2/2009 17:00,538
23379,10/2/2009 18:00,492
23380,10/2/2009 19:00,475
23381,10/2/2009 20:00,530
23382,10/2/2009 21:00,490
23383,10/2/2009 22:00,371
23384,10/2/2009 23:00,326
23385,10/3/2009 0:00,752
23386,10/3/2009 1:00,194
23387,10/3/2009 2:00,135
23388,10/3/2009 3:00,136
23389,10/3/2009 4:00,72
23390,10/3/2009 5:00,86
23391,10/3/2009 6:00,112
23392,10/3/2009 7:00,166
23393,10/3/2009 8:00,214
23394,10/3/2009 9:00,306
23395,10/3/2009 10:00,363
23396,10/3/2009 11:00,371
23397,10/3/2009 12:00,388
23398,10/3/2009 13:00,438
23399,10/3/2009 14:00,453
23400,10/3/2009 15:00,384
23401,10/3/2009 16:00,376
23402,10/3/2009 17:00,394
23403,10/3/2009 18:00,449
23404,10/3/2009 19:00,439
23405,10/3/2009 20:00,391
23406,10/3/2009 21:00,309
23407,10/3/2009 22:00,338
23408,10/3/2009 23:00,309
23409,10/4/2009 0:00,772
23410,10/4/2009 1:00,174
23411,10/4/2009 2:00,171
23412,10/4/2009 3:00,128
23413,10/4/2009 4:00,67
23414,10/4/2009 5:00,88
23415,10/4/2009 6:00,88
23416,10/4/2009 7:00,127
23417,10/4/2009 8:00,203
23418,10/4/2009 9:00,281
23419,10/4/2009 10:00,323
23420,10/4/2009 11:00,398
23421,10/4/2009 12:00,419
23422,10/4/2009 13:00,446
23423,10/4/2009 14:00,460
23424,10/4/2009 15:00,387
23425,10/4/2009 16:00,366
23426,10/4/2009 17:00,425
23427,10/4/2009 18:00,451
23428,10/4/2009 19:00,486
23429,10/4/2009 20:00,436
23430,10/4/2009 21:00,452
23431,10/4/2009 22:00,464
23432,10/4/2009 23:00,344
23433,10/5/2009 0:00,908
23434,10/5/2009 1:00,175
23435,10/5/2009 2:00,138
23436,10/5/2009 3:00,100
23437,10/5/2009 4:00,92
23438,10/5/2009 5:00,107
23439,10/5/2009 6:00,142
23440,10/5/2009 7:00,217
