,date,frequancy
5081,7/1/2011 0:00,0
5082,7/1/2011 1:00,0
5083,7/1/2011 2:00,0
5084,7/1/2011 3:00,0
5085,7/1/2011 4:00,0
5086,7/1/2011 5:00,0
5087,7/1/2011 6:00,0
5088,7/1/2011 7:00,0
5089,7/1/2011 8:00,45
5090,7/1/2011 9:00,65
5091,7/1/2011 10:00,61
5092,7/1/2011 11:00,224
5093,7/1/2011 12:00,305
5094,7/1/2011 13:00,166
5095,7/1/2011 14:00,85
5096,7/1/2011 15:00,50
5097,7/1/2011 16:00,0
5098,7/1/2011 17:00,26
5099,7/1/2011 18:00,0
5100,7/1/2011 19:00,0
5101,7/1/2011 20:00,0
5102,7/1/2011 21:00,0
5103,7/1/2011 22:00,0
5104,7/1/2011 23:00,0
5105,7/2/2011 0:00,0
5106,7/2/2011 1:00,0
5107,7/2/2011 2:00,0
5108,7/2/2011 3:00,0
5109,7/2/2011 4:00,0
5110,7/2/2011 5:00,0
5111,7/2/2011 6:00,0
5112,7/2/2011 7:00,0
5113,7/2/2011 8:00,0
5114,7/2/2011 9:00,0
5115,7/2/2011 10:00,0
5116,7/2/2011 11:00,0
5117,7/2/2011 12:00,0
5118,7/2/2011 13:00,0
5119,7/2/2011 14:00,0
5120,7/2/2011 15:00,0
5121,7/2/2011 16:00,0
5122,7/2/2011 17:00,0
5123,7/2/2011 18:00,0
5124,7/2/2011 19:00,0
5125,7/2/2011 20:00,0
5126,7/2/2011 21:00,0
5127,7/2/2011 22:00,0
5128,7/2/2011 23:00,0
5129,7/3/2011 0:00,0
5130,7/3/2011 1:00,0
5131,7/3/2011 2:00,0
5132,7/3/2011 3:00,0
5133,7/3/2011 4:00,0
5134,7/3/2011 5:00,0
5135,7/3/2011 6:00,0
5136,7/3/2011 7:00,0
5137,7/3/2011 8:00,0
5138,7/3/2011 9:00,0
5139,7/3/2011 10:00,52
5140,7/3/2011 11:00,109
5141,7/3/2011 12:00,208
5142,7/3/2011 13:00,101
5143,7/3/2011 14:00,32
5144,7/3/2011 15:00,78
5145,7/3/2011 16:00,22
5146,7/3/2011 17:00,0
5147,7/3/2011 18:00,0
5148,7/3/2011 19:00,0
5149,7/3/2011 20:00,0
5150,7/3/2011 21:00,0
5151,7/3/2011 22:00,0
5152,7/3/2011 23:00,0
5153,7/4/2011 0:00,0
5154,7/4/2011 1:00,0
5155,7/4/2011 2:00,0
5156,7/4/2011 3:00,0
5157,7/4/2011 4:00,0
5158,7/4/2011 5:00,0
5159,7/4/2011 6:00,0
5160,7/4/2011 7:00,0
5161,7/4/2011 8:00,0
5162,7/4/2011 9:00,0
5163,7/4/2011 10:00,689
5164,7/4/2011 11:00,265
5165,7/4/2011 12:00,304
5166,7/4/2011 13:00,237
5167,7/4/2011 14:00,84
5168,7/4/2011 15:00,177
5169,7/4/2011 16:00,444
5170,7/4/2011 17:00,0
5171,7/4/2011 18:00,0
5172,7/4/2011 19:00,0
5173,7/4/2011 20:00,0
5174,7/4/2011 21:00,0
5175,7/4/2011 22:00,0
5176,7/4/2011 23:00,0
5177,7/5/2011 0:00,0
5178,7/5/2011 1:00,0
5179,7/5/2011 2:00,0
5180,7/5/2011 3:00,0
5181,7/5/2011 4:00,0
5182,7/5/2011 5:00,0
5183,7/5/2011 6:00,0
5184,7/5/2011 7:00,0
5185,7/5/2011 8:00,0
5186,7/5/2011 9:00,103
5187,7/5/2011 10:00,104
5188,7/5/2011 11:00,116
5189,7/5/2011 12:00,232
5190,7/5/2011 13:00,92
5191,7/5/2011 14:00,115
5192,7/5/2011 15:00,278
5193,7/5/2011 16:00,675
5194,7/5/2011 17:00,487
5195,7/5/2011 18:00,0
5196,7/5/2011 19:00,0
5197,7/5/2011 20:00,0
5198,7/5/2011 21:00,0
5199,7/5/2011 22:00,0
5200,7/5/2011 23:00,0
5201,7/6/2011 0:00,0
5202,7/6/2011 1:00,0
5203,7/6/2011 2:00,0
5204,7/6/2011 3:00,0
5205,7/6/2011 4:00,0
5206,7/6/2011 5:00,0
5207,7/6/2011 6:00,0
5208,7/6/2011 7:00,0
5209,7/6/2011 8:00,0
5210,7/6/2011 9:00,79
5211,7/6/2011 10:00,238
5212,7/6/2011 11:00,136
5213,7/6/2011 12:00,216
5214,7/6/2011 13:00,268
5215,7/6/2011 14:00,109
5216,7/6/2011 15:00,83
5217,7/6/2011 16:00,620
5218,7/6/2011 17:00,67
5219,7/6/2011 18:00,0
5220,7/6/2011 19:00,0
5221,7/6/2011 20:00,0
5222,7/6/2011 21:00,0
5223,7/6/2011 22:00,0
5224,7/6/2011 23:00,0
5225,7/7/2011 0:00,0
5226,7/7/2011 1:00,0
5227,7/7/2011 2:00,0
5228,7/7/2011 3:00,0
5229,7/7/2011 4:00,0
5230,7/7/2011 5:00,0
5231,7/7/2011 6:00,0
5232,7/7/2011 7:00,0
5233,7/7/2011 8:00,24
5234,7/7/2011 9:00,0
5235,7/7/2011 10:00,173
5236,7/7/2011 11:00,42
5237,7/7/2011 12:00,303
5238,7/7/2011 13:00,174
5239,7/7/2011 14:00,139
5240,7/7/2011 15:00,108
5241,7/7/2011 16:00,708
5242,7/7/2011 17:00,84
5243,7/7/2011 18:00,139
5244,7/7/2011 19:00,43
5245,7/7/2011 20:00,3
5246,7/7/2011 21:00,0
5247,7/7/2011 22:00,0
5248,7/7/2011 23:00,0
5249,7/8/2011 0:00,0
5250,7/8/2011 1:00,0
5251,7/8/2011 2:00,0
5252,7/8/2011 3:00,0
5253,7/8/2011 4:00,0
5254,7/8/2011 5:00,0
5255,7/8/2011 6:00,0
5256,7/8/2011 7:00,0
5257,7/8/2011 8:00,83
5258,7/8/2011 9:00,49
5259,7/8/2011 10:00,117
5260,7/8/2011 11:00,70
5261,7/8/2011 12:00,146
5262,7/8/2011 13:00,417
5263,7/8/2011 14:00,76
5264,7/8/2011 15:00,530
5265,7/8/2011 16:00,120
5266,7/8/2011 17:00,22
5267,7/8/2011 18:00,0
5268,7/8/2011 19:00,0
5269,7/8/2011 20:00,0
5270,7/8/2011 21:00,0
5271,7/8/2011 22:00,0
5272,7/8/2011 23:00,0
5273,7/9/2011 0:00,0
5274,7/9/2011 1:00,0
5275,7/9/2011 2:00,0
5276,7/9/2011 3:00,0
5277,7/9/2011 4:00,0
5278,7/9/2011 5:00,0
5279,7/9/2011 6:00,0
5280,7/9/2011 7:00,0
5281,7/9/2011 8:00,0
5282,7/9/2011 9:00,0
5283,7/9/2011 10:00,0
5284,7/9/2011 11:00,0
5285,7/9/2011 12:00,0
5286,7/9/2011 13:00,0
5287,7/9/2011 14:00,0
5288,7/9/2011 15:00,0
5289,7/9/2011 16:00,0
5290,7/9/2011 17:00,0
5291,7/9/2011 18:00,0
5292,7/9/2011 19:00,0
5293,7/9/2011 20:00,0
5294,7/9/2011 21:00,0
5295,7/9/2011 22:00,0
5296,7/9/2011 23:00,0
5297,7/10/2011 0:00,0
5298,7/10/2011 1:00,0
5299,7/10/2011 2:00,0
5300,7/10/2011 3:00,0
5301,7/10/2011 4:00,0
5302,7/10/2011 5:00,0
5303,7/10/2011 6:00,0
5304,7/10/2011 7:00,0
5305,7/10/2011 8:00,0
5306,7/10/2011 9:00,0
5307,7/10/2011 10:00,36
5308,7/10/2011 11:00,91
5309,7/10/2011 12:00,224
5310,7/10/2011 13:00,136
5311,7/10/2011 14:00,47
5312,7/10/2011 15:00,187
5313,7/10/2011 16:00,99
5314,7/10/2011 17:00,0
