"","X","t","n"
"18945",18945,"2009-04-01 00:00:00",27
"18946",18946,"2009-04-01 01:00:00",10
"18947",18947,"2009-04-01 02:00:00",6
"18948",18948,"2009-04-01 03:00:00",1
"18949",18949,"2009-04-01 04:00:00",3
"18950",18950,"2009-04-01 05:00:00",3
"18951",18951,"2009-04-01 06:00:00",6
"18952",18952,"2009-04-01 07:00:00",11
"18953",18953,"2009-04-01 08:00:00",17
"18954",18954,"2009-04-01 09:00:00",32
"18955",18955,"2009-04-01 10:00:00",22
"18956",18956,"2009-04-01 11:00:00",44
"18957",18957,"2009-04-01 12:00:00",46
"18958",18958,"2009-04-01 13:00:00",25
"18959",18959,"2009-04-01 14:00:00",26
"18960",18960,"2009-04-01 15:00:00",31
"18961",18961,"2009-04-01 16:00:00",31
"18962",18962,"2009-04-01 17:00:00",27
"18963",18963,"2009-04-01 18:00:00",26
"18964",18964,"2009-04-01 19:00:00",16
"18965",18965,"2009-04-01 20:00:00",34
"18966",18966,"2009-04-01 21:00:00",23
"18967",18967,"2009-04-01 22:00:00",22
"18968",18968,"2009-04-01 23:00:00",23
"18969",18969,"2009-04-02 00:00:00",42
"18970",18970,"2009-04-02 01:00:00",12
"18971",18971,"2009-04-02 02:00:00",8
"18972",18972,"2009-04-02 03:00:00",3
"18973",18973,"2009-04-02 04:00:00",6
"18974",18974,"2009-04-02 05:00:00",4
"18975",18975,"2009-04-02 06:00:00",3
"18976",18976,"2009-04-02 07:00:00",24
"18977",18977,"2009-04-02 08:00:00",15
"18978",18978,"2009-04-02 09:00:00",27
"18979",18979,"2009-04-02 10:00:00",22
"18980",18980,"2009-04-02 11:00:00",38
"18981",18981,"2009-04-02 12:00:00",28
"18982",18982,"2009-04-02 13:00:00",43
"18983",18983,"2009-04-02 14:00:00",19
"18984",18984,"2009-04-02 15:00:00",49
"18985",18985,"2009-04-02 16:00:00",36
"18986",18986,"2009-04-02 17:00:00",29
"18987",18987,"2009-04-02 18:00:00",22
"18988",18988,"2009-04-02 19:00:00",24
"18989",18989,"2009-04-02 20:00:00",16
"18990",18990,"2009-04-02 21:00:00",14
"18991",18991,"2009-04-02 22:00:00",24
"18992",18992,"2009-04-02 23:00:00",21
"18993",18993,"2009-04-03 00:00:00",29
"18994",18994,"2009-04-03 01:00:00",5
"18995",18995,"2009-04-03 02:00:00",7
"18996",18996,"2009-04-03 03:00:00",3
"18997",18997,"2009-04-03 04:00:00",5
"18998",18998,"2009-04-03 05:00:00",1
"18999",18999,"2009-04-03 06:00:00",15
"19000",19000,"2009-04-03 07:00:00",11
"19001",19001,"2009-04-03 08:00:00",14
"19002",19002,"2009-04-03 09:00:00",28
"19003",19003,"2009-04-03 10:00:00",26
"19004",19004,"2009-04-03 11:00:00",44
"19005",19005,"2009-04-03 12:00:00",32
"19006",19006,"2009-04-03 13:00:00",30
"19007",19007,"2009-04-03 14:00:00",27
"19008",19008,"2009-04-03 15:00:00",33
"19009",19009,"2009-04-03 16:00:00",27
"19010",19010,"2009-04-03 17:00:00",42
"19011",19011,"2009-04-03 18:00:00",20
"19012",19012,"2009-04-03 19:00:00",24
"19013",19013,"2009-04-03 20:00:00",26
"19014",19014,"2009-04-03 21:00:00",20
"19015",19015,"2009-04-03 22:00:00",11
"19016",19016,"2009-04-03 23:00:00",12
"19017",19017,"2009-04-04 00:00:00",38
"19018",19018,"2009-04-04 01:00:00",11
"19019",19019,"2009-04-04 02:00:00",4
"19020",19020,"2009-04-04 03:00:00",4
"19021",19021,"2009-04-04 04:00:00",2
"19022",19022,"2009-04-04 05:00:00",4
"19023",19023,"2009-04-04 06:00:00",9
"19024",19024,"2009-04-04 07:00:00",6
"19025",19025,"2009-04-04 08:00:00",13
"19026",19026,"2009-04-04 09:00:00",7
"19027",19027,"2009-04-04 10:00:00",20
"19028",19028,"2009-04-04 11:00:00",33
"19029",19029,"2009-04-04 12:00:00",17
"19030",19030,"2009-04-04 13:00:00",18
"19031",19031,"2009-04-04 14:00:00",29
"19032",19032,"2009-04-04 15:00:00",16
"19033",19033,"2009-04-04 16:00:00",16
"19034",19034,"2009-04-04 17:00:00",8
"19035",19035,"2009-04-04 18:00:00",12
"19036",19036,"2009-04-04 19:00:00",25
"19037",19037,"2009-04-04 20:00:00",14
"19038",19038,"2009-04-04 21:00:00",18
"19039",19039,"2009-04-04 22:00:00",18
"19040",19040,"2009-04-04 23:00:00",20
"19041",19041,"2009-04-05 00:00:00",28
"19042",19042,"2009-04-05 01:00:00",10
"19043",19043,"2009-04-05 02:00:00",5
"19044",19044,"2009-04-05 03:00:00",8
"19045",19045,"2009-04-05 04:00:00",7
"19046",19046,"2009-04-05 05:00:00",2
"19047",19047,"2009-04-05 06:00:00",4
"19048",19048,"2009-04-05 07:00:00",12
"19049",19049,"2009-04-05 08:00:00",12
"19050",19050,"2009-04-05 09:00:00",19
"19051",19051,"2009-04-05 10:00:00",13
"19052",19052,"2009-04-05 11:00:00",14
"19053",19053,"2009-04-05 12:00:00",18
"19054",19054,"2009-04-05 13:00:00",20
"19055",19055,"2009-04-05 14:00:00",17
"19056",19056,"2009-04-05 15:00:00",18
"19057",19057,"2009-04-05 16:00:00",23
"19058",19058,"2009-04-05 17:00:00",47
"19059",19059,"2009-04-05 18:00:00",23
"19060",19060,"2009-04-05 19:00:00",26
"19061",19061,"2009-04-05 20:00:00",18
"19062",19062,"2009-04-05 21:00:00",19
"19063",19063,"2009-04-05 22:00:00",21
"19064",19064,"2009-04-05 23:00:00",19
"19065",19065,"2009-04-06 00:00:00",36
"19066",19066,"2009-04-06 01:00:00",7
"19067",19067,"2009-04-06 02:00:00",5
"19068",19068,"2009-04-06 03:00:00",3
"19069",19069,"2009-04-06 04:00:00",4
"19070",19070,"2009-04-06 05:00:00",4
"19071",19071,"2009-04-06 06:00:00",7
"19072",19072,"2009-04-06 07:00:00",10
"19073",19073,"2009-04-06 08:00:00",27
"19074",19074,"2009-04-06 09:00:00",23
"19075",19075,"2009-04-06 10:00:00",33
"19076",19076,"2009-04-06 11:00:00",33
"19077",19077,"2009-04-06 12:00:00",58
"19078",19078,"2009-04-06 13:00:00",44
"19079",19079,"2009-04-06 14:00:00",22
"19080",19080,"2009-04-06 15:00:00",43
"19081",19081,"2009-04-06 16:00:00",29
"19082",19082,"2009-04-06 17:00:00",17
"19083",19083,"2009-04-06 18:00:00",32
"19084",19084,"2009-04-06 19:00:00",34
"19085",19085,"2009-04-06 20:00:00",21
"19086",19086,"2009-04-06 21:00:00",26
"19087",19087,"2009-04-06 22:00:00",36
"19088",19088,"2009-04-06 23:00:00",20
"19089",19089,"2009-04-07 00:00:00",52
"19090",19090,"2009-04-07 01:00:00",8
"19091",19091,"2009-04-07 02:00:00",7
"19092",19092,"2009-04-07 03:00:00",10
"19093",19093,"2009-04-07 04:00:00",7
"19094",19094,"2009-04-07 05:00:00",13
"19095",19095,"2009-04-07 06:00:00",8
"19096",19096,"2009-04-07 07:00:00",16
"19097",19097,"2009-04-07 08:00:00",30
"19098",19098,"2009-04-07 09:00:00",32
"19099",19099,"2009-04-07 10:00:00",31
"19100",19100,"2009-04-07 11:00:00",23
"19101",19101,"2009-04-07 12:00:00",35
"19102",19102,"2009-04-07 13:00:00",29
"19103",19103,"2009-04-07 14:00:00",37
"19104",19104,"2009-04-07 15:00:00",28
"19105",19105,"2009-04-07 16:00:00",33
"19106",19106,"2009-04-07 17:00:00",37
"19107",19107,"2009-04-07 18:00:00",24
"19108",19108,"2009-04-07 19:00:00",32
"19109",19109,"2009-04-07 20:00:00",32
"19110",19110,"2009-04-07 21:00:00",41
"19111",19111,"2009-04-07 22:00:00",19
"19112",19112,"2009-04-07 23:00:00",22
"19113",19113,"2009-04-08 00:00:00",55
"19114",19114,"2009-04-08 01:00:00",8
"19115",19115,"2009-04-08 02:00:00",3
"19116",19116,"2009-04-08 03:00:00",4
"19117",19117,"2009-04-08 04:00:00",6
"19118",19118,"2009-04-08 05:00:00",7
"19119",19119,"2009-04-08 06:00:00",9
