"","t","n"
"21873","2009-08-01 00:00:00",334
"21874","2009-08-01 01:00:00",64
"21875","2009-08-01 02:00:00",87
"21876","2009-08-01 03:00:00",52
"21877","2009-08-01 04:00:00",30
"21878","2009-08-01 05:00:00",24
"21879","2009-08-01 06:00:00",31
"21880","2009-08-01 07:00:00",47
"21881","2009-08-01 08:00:00",73
"21882","2009-08-01 09:00:00",91
"21883","2009-08-01 10:00:00",107
"21884","2009-08-01 11:00:00",125
"21885","2009-08-01 12:00:00",150
"21886","2009-08-01 13:00:00",152
"21887","2009-08-01 14:00:00",159
"21888","2009-08-01 15:00:00",130
"21889","2009-08-01 16:00:00",207
"21890","2009-08-01 17:00:00",138
"21891","2009-08-01 18:00:00",145
"21892","2009-08-01 19:00:00",133
"21893","2009-08-01 20:00:00",131
"21894","2009-08-01 21:00:00",145
"21895","2009-08-01 22:00:00",134
"21896","2009-08-01 23:00:00",120
"21897","2009-08-02 00:00:00",328
"21898","2009-08-02 01:00:00",83
"21899","2009-08-02 02:00:00",66
"21900","2009-08-02 03:00:00",58
"21901","2009-08-02 04:00:00",27
"21902","2009-08-02 05:00:00",22
"21903","2009-08-02 06:00:00",37
"21904","2009-08-02 07:00:00",34
"21905","2009-08-02 08:00:00",56
"21906","2009-08-02 09:00:00",82
"21907","2009-08-02 10:00:00",89
"21908","2009-08-02 11:00:00",103
"21909","2009-08-02 12:00:00",140
"21910","2009-08-02 13:00:00",127
"21911","2009-08-02 14:00:00",126
"21912","2009-08-02 15:00:00",174
"21913","2009-08-02 16:00:00",151
"21914","2009-08-02 17:00:00",148
"21915","2009-08-02 18:00:00",141
"21916","2009-08-02 19:00:00",146
"21917","2009-08-02 20:00:00",162
"21918","2009-08-02 21:00:00",143
"21919","2009-08-02 22:00:00",136
"21920","2009-08-02 23:00:00",111
"21921","2009-08-03 00:00:00",408
"21922","2009-08-03 01:00:00",87
"21923","2009-08-03 02:00:00",57
"21924","2009-08-03 03:00:00",37
"21925","2009-08-03 04:00:00",35
"21926","2009-08-03 05:00:00",31
"21927","2009-08-03 06:00:00",37
"21928","2009-08-03 07:00:00",83
"21929","2009-08-03 08:00:00",117
"21930","2009-08-03 09:00:00",166
"21931","2009-08-03 10:00:00",157
"21932","2009-08-03 11:00:00",187
"21933","2009-08-03 12:00:00",215
"21934","2009-08-03 13:00:00",213
"21935","2009-08-03 14:00:00",192
"21936","2009-08-03 15:00:00",176
"21937","2009-08-03 16:00:00",204
"21938","2009-08-03 17:00:00",174
"21939","2009-08-03 18:00:00",188
"21940","2009-08-03 19:00:00",163
"21941","2009-08-03 20:00:00",194
"21942","2009-08-03 21:00:00",183
"21943","2009-08-03 22:00:00",157
"21944","2009-08-03 23:00:00",134
"21945","2009-08-04 00:00:00",394
"21946","2009-08-04 01:00:00",83
"21947","2009-08-04 02:00:00",72
"21948","2009-08-04 03:00:00",29
"21949","2009-08-04 04:00:00",23
"21950","2009-08-04 05:00:00",36
"21951","2009-08-04 06:00:00",44
"21952","2009-08-04 07:00:00",89
"21953","2009-08-04 08:00:00",128
"21954","2009-08-04 09:00:00",174
"21955","2009-08-04 10:00:00",181
"21956","2009-08-04 11:00:00",201
"21957","2009-08-04 12:00:00",206
"21958","2009-08-04 13:00:00",206
"21959","2009-08-04 14:00:00",233
"21960","2009-08-04 15:00:00",210
"21961","2009-08-04 16:00:00",220
"21962","2009-08-04 17:00:00",194
"21963","2009-08-04 18:00:00",161
"21964","2009-08-04 19:00:00",194
"21965","2009-08-04 20:00:00",187
"21966","2009-08-04 21:00:00",169
"21967","2009-08-04 22:00:00",170
"21968","2009-08-04 23:00:00",165
"21969","2009-08-05 00:00:00",267
"21970","2009-08-05 01:00:00",80
"21971","2009-08-05 02:00:00",61
"21972","2009-08-05 03:00:00",38
"21973","2009-08-05 04:00:00",28
"21974","2009-08-05 05:00:00",33
"21975","2009-08-05 06:00:00",43
"21976","2009-08-05 07:00:00",109
"21977","2009-08-05 08:00:00",132
"21978","2009-08-05 09:00:00",191
"21979","2009-08-05 10:00:00",211
"21980","2009-08-05 11:00:00",192
"21981","2009-08-05 12:00:00",206
"21982","2009-08-05 13:00:00",252
"21983","2009-08-05 14:00:00",189
"21984","2009-08-05 15:00:00",254
"21985","2009-08-05 16:00:00",211
"21986","2009-08-05 17:00:00",201
"21987","2009-08-05 18:00:00",162
"21988","2009-08-05 19:00:00",182
"21989","2009-08-05 20:00:00",209
"21990","2009-08-05 21:00:00",210
"21991","2009-08-05 22:00:00",147
"21992","2009-08-05 23:00:00",172
"21993","2009-08-06 00:00:00",278
"21994","2009-08-06 01:00:00",102
"21995","2009-08-06 02:00:00",91
"21996","2009-08-06 03:00:00",54
"21997","2009-08-06 04:00:00",34
"21998","2009-08-06 05:00:00",34
"21999","2009-08-06 06:00:00",67
"22000","2009-08-06 07:00:00",91
"22001","2009-08-06 08:00:00",15
"22002","2009-08-06 09:00:00",19
"22003","2009-08-06 10:00:00",44
"22004","2009-08-06 11:00:00",78
"22005","2009-08-06 12:00:00",92
"22006","2009-08-06 13:00:00",135
"22007","2009-08-06 14:00:00",121
"22008","2009-08-06 15:00:00",188
"22009","2009-08-06 16:00:00",109
"22010","2009-08-06 17:00:00",164
"22011","2009-08-06 18:00:00",170
