"","t","n"
"24801","2009-12-01 00:00:00",2270
"24802","2009-12-01 01:00:00",841
"24803","2009-12-01 02:00:00",699
"24804","2009-12-01 03:00:00",510
"24805","2009-12-01 04:00:00",546
"24806","2009-12-01 05:00:00",483
"24807","2009-12-01 06:00:00",618
"24808","2009-12-01 07:00:00",913
"24809","2009-12-01 08:00:00",1124
"24810","2009-12-01 09:00:00",1273
"24811","2009-12-01 10:00:00",1431
"24812","2009-12-01 11:00:00",1601
"24813","2009-12-01 12:00:00",1640
"24814","2009-12-01 13:00:00",1646
"24815","2009-12-01 14:00:00",1593
"24816","2009-12-01 15:00:00",1678
"24817","2009-12-01 16:00:00",1461
"24818","2009-12-01 17:00:00",1558
"24819","2009-12-01 18:00:00",1445
"24820","2009-12-01 19:00:00",1460
"24821","2009-12-01 20:00:00",1500
"24822","2009-12-01 21:00:00",1501
"24823","2009-12-01 22:00:00",1205
"24824","2009-12-01 23:00:00",1100
"24825","2009-12-02 00:00:00",2045
"24826","2009-12-02 01:00:00",609
"24827","2009-12-02 02:00:00",540
"24828","2009-12-02 03:00:00",370
"24829","2009-12-02 04:00:00",370
"24830","2009-12-02 05:00:00",329
"24831","2009-12-02 06:00:00",507
"24832","2009-12-02 07:00:00",664
"24833","2009-12-02 08:00:00",949
"24834","2009-12-02 09:00:00",1013
"24835","2009-12-02 10:00:00",1317
"24836","2009-12-02 11:00:00",1455
"24837","2009-12-02 12:00:00",1345
"24838","2009-12-02 13:00:00",1459
"24839","2009-12-02 14:00:00",1395
"24840","2009-12-02 15:00:00",1374
"24841","2009-12-02 16:00:00",1318
"24842","2009-12-02 17:00:00",1221
"24843","2009-12-02 18:00:00",1181
"24844","2009-12-02 19:00:00",1267
"24845","2009-12-02 20:00:00",1385
"24846","2009-12-02 21:00:00",1160
"24847","2009-12-02 22:00:00",1075
"24848","2009-12-02 23:00:00",873
"24849","2009-12-03 00:00:00",1659
"24850","2009-12-03 01:00:00",599
"24851","2009-12-03 02:00:00",360
"24852","2009-12-03 03:00:00",218
"24853","2009-12-03 04:00:00",145
"24854","2009-12-03 05:00:00",213
"24855","2009-12-03 06:00:00",301
"24856","2009-12-03 07:00:00",566
"24857","2009-12-03 08:00:00",664
"24858","2009-12-03 09:00:00",833
"24859","2009-12-03 10:00:00",1028
"24860","2009-12-03 11:00:00",1197
"24861","2009-12-03 12:00:00",1127
