"","X","t","n"
"17529",17529,"2009-02-01 00:00:00",2
"17530",17530,"2009-02-01 01:00:00",0
"17531",17531,"2009-02-01 02:00:00",1
"17532",17532,"2009-02-01 03:00:00",3
"17533",17533,"2009-02-01 04:00:00",0
"17534",17534,"2009-02-01 05:00:00",2
"17535",17535,"2009-02-01 06:00:00",1
"17536",17536,"2009-02-01 07:00:00",6
"17537",17537,"2009-02-01 08:00:00",1
"17538",17538,"2009-02-01 09:00:00",2
"17539",17539,"2009-02-01 10:00:00",4
"17540",17540,"2009-02-01 11:00:00",7
"17541",17541,"2009-02-01 12:00:00",8
"17542",17542,"2009-02-01 13:00:00",5
"17543",17543,"2009-02-01 14:00:00",14
"17544",17544,"2009-02-01 15:00:00",12
"17545",17545,"2009-02-01 16:00:00",10
"17546",17546,"2009-02-01 17:00:00",23
"17547",17547,"2009-02-01 18:00:00",11
"17548",17548,"2009-02-01 19:00:00",37
"17549",17549,"2009-02-01 20:00:00",34
"17550",17550,"2009-02-01 21:00:00",27
"17551",17551,"2009-02-01 22:00:00",10
"17552",17552,"2009-02-01 23:00:00",6
"17553",17553,"2009-02-02 00:00:00",0
"17554",17554,"2009-02-02 01:00:00",1
"17555",17555,"2009-02-02 02:00:00",2
"17556",17556,"2009-02-02 03:00:00",1
"17557",17557,"2009-02-02 04:00:00",0
"17558",17558,"2009-02-02 05:00:00",1
"17559",17559,"2009-02-02 06:00:00",1
"17560",17560,"2009-02-02 07:00:00",8
"17561",17561,"2009-02-02 08:00:00",11
"17562",17562,"2009-02-02 09:00:00",10
"17563",17563,"2009-02-02 10:00:00",6
"17564",17564,"2009-02-02 11:00:00",11
"17565",17565,"2009-02-02 12:00:00",15
"17566",17566,"2009-02-02 13:00:00",14
"17567",17567,"2009-02-02 14:00:00",15
"17568",17568,"2009-02-02 15:00:00",7
"17569",17569,"2009-02-02 16:00:00",10
"17570",17570,"2009-02-02 17:00:00",14
"17571",17571,"2009-02-02 18:00:00",15
"17572",17572,"2009-02-02 19:00:00",3
"17573",17573,"2009-02-02 20:00:00",7
"17574",17574,"2009-02-02 21:00:00",4
"17575",17575,"2009-02-02 22:00:00",6
"17576",17576,"2009-02-02 23:00:00",4
"17577",17577,"2009-02-03 00:00:00",2
"17578",17578,"2009-02-03 01:00:00",2
"17579",17579,"2009-02-03 02:00:00",1
"17580",17580,"2009-02-03 03:00:00",1
"17581",17581,"2009-02-03 04:00:00",4
"17582",17582,"2009-02-03 05:00:00",4
"17583",17583,"2009-02-03 06:00:00",4
"17584",17584,"2009-02-03 07:00:00",1
"17585",17585,"2009-02-03 08:00:00",8
"17586",17586,"2009-02-03 09:00:00",7
"17587",17587,"2009-02-03 10:00:00",11
"17588",17588,"2009-02-03 11:00:00",19
"17589",17589,"2009-02-03 12:00:00",13
"17590",17590,"2009-02-03 13:00:00",8
"17591",17591,"2009-02-03 14:00:00",18
"17592",17592,"2009-02-03 15:00:00",13
"17593",17593,"2009-02-03 16:00:00",7
"17594",17594,"2009-02-03 17:00:00",7
"17595",17595,"2009-02-03 18:00:00",9
"17596",17596,"2009-02-03 19:00:00",5
"17597",17597,"2009-02-03 20:00:00",3
"17598",17598,"2009-02-03 21:00:00",16
"17599",17599,"2009-02-03 22:00:00",9
"17600",17600,"2009-02-03 23:00:00",4
"17601",17601,"2009-02-04 00:00:00",1
"17602",17602,"2009-02-04 01:00:00",3
"17603",17603,"2009-02-04 02:00:00",1
"17604",17604,"2009-02-04 03:00:00",1
"17605",17605,"2009-02-04 04:00:00",4
"17606",17606,"2009-02-04 05:00:00",8
"17607",17607,"2009-02-04 06:00:00",3
"17608",17608,"2009-02-04 07:00:00",6
"17609",17609,"2009-02-04 08:00:00",12
"17610",17610,"2009-02-04 09:00:00",8
"17611",17611,"2009-02-04 10:00:00",9
"17612",17612,"2009-02-04 11:00:00",8
"17613",17613,"2009-02-04 12:00:00",18
"17614",17614,"2009-02-04 13:00:00",19
"17615",17615,"2009-02-04 14:00:00",13
"17616",17616,"2009-02-04 15:00:00",13
"17617",17617,"2009-02-04 16:00:00",9
"17618",17618,"2009-02-04 17:00:00",9
"17619",17619,"2009-02-04 18:00:00",11
"17620",17620,"2009-02-04 19:00:00",4
"17621",17621,"2009-02-04 20:00:00",12
"17622",17622,"2009-02-04 21:00:00",30
"17623",17623,"2009-02-04 22:00:00",7
"17624",17624,"2009-02-04 23:00:00",5
"17625",17625,"2009-02-05 00:00:00",2
"17626",17626,"2009-02-05 01:00:00",0
"17627",17627,"2009-02-05 02:00:00",0
"17628",17628,"2009-02-05 03:00:00",0
"17629",17629,"2009-02-05 04:00:00",0
"17630",17630,"2009-02-05 05:00:00",1
"17631",17631,"2009-02-05 06:00:00",1
"17632",17632,"2009-02-05 07:00:00",5
"17633",17633,"2009-02-05 08:00:00",8
"17634",17634,"2009-02-05 09:00:00",16
"17635",17635,"2009-02-05 10:00:00",15
"17636",17636,"2009-02-05 11:00:00",14
"17637",17637,"2009-02-05 12:00:00",17
"17638",17638,"2009-02-05 13:00:00",16
"17639",17639,"2009-02-05 14:00:00",15
"17640",17640,"2009-02-05 15:00:00",13
"17641",17641,"2009-02-05 16:00:00",13
"17642",17642,"2009-02-05 17:00:00",9
"17643",17643,"2009-02-05 18:00:00",3
"17644",17644,"2009-02-05 19:00:00",4
"17645",17645,"2009-02-05 20:00:00",7
"17646",17646,"2009-02-05 21:00:00",6
"17647",17647,"2009-02-05 22:00:00",7
"17648",17648,"2009-02-05 23:00:00",2
"17649",17649,"2009-02-06 00:00:00",5
"17650",17650,"2009-02-06 01:00:00",1
"17651",17651,"2009-02-06 02:00:00",0
"17652",17652,"2009-02-06 03:00:00",0
"17653",17653,"2009-02-06 04:00:00",6
"17654",17654,"2009-02-06 05:00:00",2
"17655",17655,"2009-02-06 06:00:00",5
"17656",17656,"2009-02-06 07:00:00",5
"17657",17657,"2009-02-06 08:00:00",5
"17658",17658,"2009-02-06 09:00:00",12
"17659",17659,"2009-02-06 10:00:00",9
"17660",17660,"2009-02-06 11:00:00",10
"17661",17661,"2009-02-06 12:00:00",17
"17662",17662,"2009-02-06 13:00:00",18
"17663",17663,"2009-02-06 14:00:00",12
"17664",17664,"2009-02-06 15:00:00",19
"17665",17665,"2009-02-06 16:00:00",10
"17666",17666,"2009-02-06 17:00:00",9
"17667",17667,"2009-02-06 18:00:00",2
"17668",17668,"2009-02-06 19:00:00",2
"17669",17669,"2009-02-06 20:00:00",13
"17670",17670,"2009-02-06 21:00:00",13
"17671",17671,"2009-02-06 22:00:00",3
"17672",17672,"2009-02-06 23:00:00",8
"17673",17673,"2009-02-07 00:00:00",6
"17674",17674,"2009-02-07 01:00:00",0
"17675",17675,"2009-02-07 02:00:00",2
"17676",17676,"2009-02-07 03:00:00",0
"17677",17677,"2009-02-07 04:00:00",1
"17678",17678,"2009-02-07 05:00:00",1
