"","X","t","n"
"16785",16785,"2009-01-01 00:00:00",2
"16786",16786,"2009-01-01 01:00:00",3
"16787",16787,"2009-01-01 02:00:00",0
"16788",16788,"2009-01-01 03:00:00",0
"16789",16789,"2009-01-01 04:00:00",0
"16790",16790,"2009-01-01 05:00:00",0
"16791",16791,"2009-01-01 06:00:00",2
"16792",16792,"2009-01-01 07:00:00",1
"16793",16793,"2009-01-01 08:00:00",1
"16794",16794,"2009-01-01 09:00:00",3
"16795",16795,"2009-01-01 10:00:00",3
"16796",16796,"2009-01-01 11:00:00",5
"16797",16797,"2009-01-01 12:00:00",5
"16798",16798,"2009-01-01 13:00:00",4
"16799",16799,"2009-01-01 14:00:00",3
"16800",16800,"2009-01-01 15:00:00",2
"16801",16801,"2009-01-01 16:00:00",8
"16802",16802,"2009-01-01 17:00:00",4
"16803",16803,"2009-01-01 18:00:00",5
"16804",16804,"2009-01-01 19:00:00",11
"16805",16805,"2009-01-01 20:00:00",4
"16806",16806,"2009-01-01 21:00:00",1
"16807",16807,"2009-01-01 22:00:00",1
"16808",16808,"2009-01-01 23:00:00",4
"16809",16809,"2009-01-02 00:00:00",8
"16810",16810,"2009-01-02 01:00:00",0
"16811",16811,"2009-01-02 02:00:00",2
"16812",16812,"2009-01-02 03:00:00",2
"16813",16813,"2009-01-02 04:00:00",0
"16814",16814,"2009-01-02 05:00:00",0
"16815",16815,"2009-01-02 06:00:00",1
"16816",16816,"2009-01-02 07:00:00",3
"16817",16817,"2009-01-02 08:00:00",1
"16818",16818,"2009-01-02 09:00:00",4
"16819",16819,"2009-01-02 10:00:00",12
"16820",16820,"2009-01-02 11:00:00",6
"16821",16821,"2009-01-02 12:00:00",5
"16822",16822,"2009-01-02 13:00:00",7
"16823",16823,"2009-01-02 14:00:00",9
"16824",16824,"2009-01-02 15:00:00",1
"16825",16825,"2009-01-02 16:00:00",2
"16826",16826,"2009-01-02 17:00:00",2
"16827",16827,"2009-01-02 18:00:00",6
"16828",16828,"2009-01-02 19:00:00",6
"16829",16829,"2009-01-02 20:00:00",4
"16830",16830,"2009-01-02 21:00:00",3
"16831",16831,"2009-01-02 22:00:00",1
"16832",16832,"2009-01-02 23:00:00",5
"16833",16833,"2009-01-03 00:00:00",9
"16834",16834,"2009-01-03 01:00:00",0
"16835",16835,"2009-01-03 02:00:00",2
"16836",16836,"2009-01-03 03:00:00",0
"16837",16837,"2009-01-03 04:00:00",0
"16838",16838,"2009-01-03 05:00:00",0
"16839",16839,"2009-01-03 06:00:00",0
"16840",16840,"2009-01-03 07:00:00",4
"16841",16841,"2009-01-03 08:00:00",1
"16842",16842,"2009-01-03 09:00:00",3
"16843",16843,"2009-01-03 10:00:00",7
"16844",16844,"2009-01-03 11:00:00",1
"16845",16845,"2009-01-03 12:00:00",4
"16846",16846,"2009-01-03 13:00:00",6
"16847",16847,"2009-01-03 14:00:00",3
"16848",16848,"2009-01-03 15:00:00",2
"16849",16849,"2009-01-03 16:00:00",2
"16850",16850,"2009-01-03 17:00:00",4
"16851",16851,"2009-01-03 18:00:00",3
"16852",16852,"2009-01-03 19:00:00",3
"16853",16853,"2009-01-03 20:00:00",8
"16854",16854,"2009-01-03 21:00:00",6
"16855",16855,"2009-01-03 22:00:00",7
"16856",16856,"2009-01-03 23:00:00",5
"16857",16857,"2009-01-04 00:00:00",2
"16858",16858,"2009-01-04 01:00:00",2
"16859",16859,"2009-01-04 02:00:00",0
"16860",16860,"2009-01-04 03:00:00",2
"16861",16861,"2009-01-04 04:00:00",0
"16862",16862,"2009-01-04 05:00:00",1
"16863",16863,"2009-01-04 06:00:00",2
"16864",16864,"2009-01-04 07:00:00",1
"16865",16865,"2009-01-04 08:00:00",7
"16866",16866,"2009-01-04 09:00:00",1
"16867",16867,"2009-01-04 10:00:00",1
"16868",16868,"2009-01-04 11:00:00",3
"16869",16869,"2009-01-04 12:00:00",4
"16870",16870,"2009-01-04 13:00:00",13
"16871",16871,"2009-01-04 14:00:00",6
"16872",16872,"2009-01-04 15:00:00",4
"16873",16873,"2009-01-04 16:00:00",6
"16874",16874,"2009-01-04 17:00:00",2
"16875",16875,"2009-01-04 18:00:00",4
"16876",16876,"2009-01-04 19:00:00",9
"16877",16877,"2009-01-04 20:00:00",2
"16878",16878,"2009-01-04 21:00:00",2
"16879",16879,"2009-01-04 22:00:00",2
"16880",16880,"2009-01-04 23:00:00",3
"16881",16881,"2009-01-05 00:00:00",10
"16882",16882,"2009-01-05 01:00:00",0
"16883",16883,"2009-01-05 02:00:00",11
"16884",16884,"2009-01-05 03:00:00",1
"16885",16885,"2009-01-05 04:00:00",0
"16886",16886,"2009-01-05 05:00:00",0
"16887",16887,"2009-01-05 06:00:00",4
"16888",16888,"2009-01-05 07:00:00",1
"16889",16889,"2009-01-05 08:00:00",2
"16890",16890,"2009-01-05 09:00:00",11
"16891",16891,"2009-01-05 10:00:00",5
"16892",16892,"2009-01-05 11:00:00",7
"16893",16893,"2009-01-05 12:00:00",7
"16894",16894,"2009-01-05 13:00:00",10
"16895",16895,"2009-01-05 14:00:00",5
"16896",16896,"2009-01-05 15:00:00",9
"16897",16897,"2009-01-05 16:00:00",6
"16898",16898,"2009-01-05 17:00:00",6
"16899",16899,"2009-01-05 18:00:00",7
"16900",16900,"2009-01-05 19:00:00",8
"16901",16901,"2009-01-05 20:00:00",2
"16902",16902,"2009-01-05 21:00:00",2
"16903",16903,"2009-01-05 22:00:00",3
"16904",16904,"2009-01-05 23:00:00",2
"16905",16905,"2009-01-06 00:00:00",4
"16906",16906,"2009-01-06 01:00:00",3
"16907",16907,"2009-01-06 02:00:00",2
"16908",16908,"2009-01-06 03:00:00",0
"16909",16909,"2009-01-06 04:00:00",2
"16910",16910,"2009-01-06 05:00:00",1
"16911",16911,"2009-01-06 06:00:00",3
"16912",16912,"2009-01-06 07:00:00",2
"16913",16913,"2009-01-06 08:00:00",6
