"","X","t","n"
"21129",21129,"2009-07-01 00:00:00",216
"21130",21130,"2009-07-01 01:00:00",46
"21131",21131,"2009-07-01 02:00:00",22
"21132",21132,"2009-07-01 03:00:00",3
"21133",21133,"2009-07-01 04:00:00",17
"21134",21134,"2009-07-01 05:00:00",28
"21135",21135,"2009-07-01 06:00:00",28
"21136",21136,"2009-07-01 07:00:00",51
"21137",21137,"2009-07-01 08:00:00",63
"21138",21138,"2009-07-01 09:00:00",132
"21139",21139,"2009-07-01 10:00:00",121
"21140",21140,"2009-07-01 11:00:00",136
"21141",21141,"2009-07-01 12:00:00",130
"21142",21142,"2009-07-01 13:00:00",147
"21143",21143,"2009-07-01 14:00:00",139
"21144",21144,"2009-07-01 15:00:00",117
"21145",21145,"2009-07-01 16:00:00",153
"21146",21146,"2009-07-01 17:00:00",121
"21147",21147,"2009-07-01 18:00:00",101
"21148",21148,"2009-07-01 19:00:00",114
"21149",21149,"2009-07-01 20:00:00",109
"21150",21150,"2009-07-01 21:00:00",94
"21151",21151,"2009-07-01 22:00:00",116
"21152",21152,"2009-07-01 23:00:00",91
"21153",21153,"2009-07-02 00:00:00",290
"21154",21154,"2009-07-02 01:00:00",44
"21155",21155,"2009-07-02 02:00:00",29
"21156",21156,"2009-07-02 03:00:00",13
"21157",21157,"2009-07-02 04:00:00",23
"21158",21158,"2009-07-02 05:00:00",18
"21159",21159,"2009-07-02 06:00:00",34
"21160",21160,"2009-07-02 07:00:00",79
"21161",21161,"2009-07-02 08:00:00",95
"21162",21162,"2009-07-02 09:00:00",108
"21163",21163,"2009-07-02 10:00:00",108
"21164",21164,"2009-07-02 11:00:00",109
"21165",21165,"2009-07-02 12:00:00",128
"21166",21166,"2009-07-02 13:00:00",109
"21167",21167,"2009-07-02 14:00:00",99
"21168",21168,"2009-07-02 15:00:00",129
"21169",21169,"2009-07-02 16:00:00",143
"21170",21170,"2009-07-02 17:00:00",128
"21171",21171,"2009-07-02 18:00:00",95
"21172",21172,"2009-07-02 19:00:00",112
"21173",21173,"2009-07-02 20:00:00",98
"21174",21174,"2009-07-02 21:00:00",97
"21175",21175,"2009-07-02 22:00:00",75
"21176",21176,"2009-07-02 23:00:00",61
"21177",21177,"2009-07-03 00:00:00",224
"21178",21178,"2009-07-03 01:00:00",62
"21179",21179,"2009-07-03 02:00:00",47
"21180",21180,"2009-07-03 03:00:00",18
"21181",21181,"2009-07-03 04:00:00",41
"21182",21182,"2009-07-03 05:00:00",29
"21183",21183,"2009-07-03 06:00:00",35
"21184",21184,"2009-07-03 07:00:00",46
"21185",21185,"2009-07-03 08:00:00",73
"21186",21186,"2009-07-03 09:00:00",89
"21187",21187,"2009-07-03 10:00:00",88
"21188",21188,"2009-07-03 11:00:00",117
"21189",21189,"2009-07-03 12:00:00",149
"21190",21190,"2009-07-03 13:00:00",130
"21191",21191,"2009-07-03 14:00:00",110
"21192",21192,"2009-07-03 15:00:00",89
"21193",21193,"2009-07-03 16:00:00",84
"21194",21194,"2009-07-03 17:00:00",90
"21195",21195,"2009-07-03 18:00:00",95
"21196",21196,"2009-07-03 19:00:00",119
"21197",21197,"2009-07-03 20:00:00",110
"21198",21198,"2009-07-03 21:00:00",104
"21199",21199,"2009-07-03 22:00:00",96
"21200",21200,"2009-07-03 23:00:00",68
"21201",21201,"2009-07-04 00:00:00",172
"21202",21202,"2009-07-04 01:00:00",58
"21203",21203,"2009-07-04 02:00:00",49
"21204",21204,"2009-07-04 03:00:00",35
"21205",21205,"2009-07-04 04:00:00",13
"21206",21206,"2009-07-04 05:00:00",16
"21207",21207,"2009-07-04 06:00:00",26
"21208",21208,"2009-07-04 07:00:00",52
"21209",21209,"2009-07-04 08:00:00",50
"21210",21210,"2009-07-04 09:00:00",79
"21211",21211,"2009-07-04 10:00:00",94
"21212",21212,"2009-07-04 11:00:00",78
