"","X","t","n"
"20409",20409,"2009-06-01 00:00:00",64
"20410",20410,"2009-06-01 01:00:00",26
"20411",20411,"2009-06-01 02:00:00",11
"20412",20412,"2009-06-01 03:00:00",7
"20413",20413,"2009-06-01 04:00:00",13
"20414",20414,"2009-06-01 05:00:00",17
"20415",20415,"2009-06-01 06:00:00",15
"20416",20416,"2009-06-01 07:00:00",32
"20417",20417,"2009-06-01 08:00:00",42
"20418",20418,"2009-06-01 09:00:00",55
"20419",20419,"2009-06-01 10:00:00",68
"20420",20420,"2009-06-01 11:00:00",72
"20421",20421,"2009-06-01 12:00:00",73
"20422",20422,"2009-06-01 13:00:00",87
"20423",20423,"2009-06-01 14:00:00",62
"20424",20424,"2009-06-01 15:00:00",86
"20425",20425,"2009-06-01 16:00:00",72
"20426",20426,"2009-06-01 17:00:00",57
"20427",20427,"2009-06-01 18:00:00",66
"20428",20428,"2009-06-01 19:00:00",65
"20429",20429,"2009-06-01 20:00:00",54
"20430",20430,"2009-06-01 21:00:00",53
"20431",20431,"2009-06-01 22:00:00",53
"20432",20432,"2009-06-01 23:00:00",71
"20433",20433,"2009-06-02 00:00:00",96
"20434",20434,"2009-06-02 01:00:00",19
"20435",20435,"2009-06-02 02:00:00",19
"20436",20436,"2009-06-02 03:00:00",12
"20437",20437,"2009-06-02 04:00:00",10
"20438",20438,"2009-06-02 05:00:00",15
"20439",20439,"2009-06-02 06:00:00",18
"20440",20440,"2009-06-02 07:00:00",29
"20441",20441,"2009-06-02 08:00:00",69
"20442",20442,"2009-06-02 09:00:00",71
"20443",20443,"2009-06-02 10:00:00",81
"20444",20444,"2009-06-02 11:00:00",103
"20445",20445,"2009-06-02 12:00:00",79
"20446",20446,"2009-06-02 13:00:00",104
"20447",20447,"2009-06-02 14:00:00",92
"20448",20448,"2009-06-02 15:00:00",81
"20449",20449,"2009-06-02 16:00:00",102
"20450",20450,"2009-06-02 17:00:00",85
"20451",20451,"2009-06-02 18:00:00",53
"20452",20452,"2009-06-02 19:00:00",60
"20453",20453,"2009-06-02 20:00:00",78
"20454",20454,"2009-06-02 21:00:00",82
