"","X","t","n"
"18201",18201,"2009-03-01 00:00:00",15
"18202",18202,"2009-03-01 01:00:00",3
"18203",18203,"2009-03-01 02:00:00",2
"18204",18204,"2009-03-01 03:00:00",0
"18205",18205,"2009-03-01 04:00:00",4
"18206",18206,"2009-03-01 05:00:00",0
"18207",18207,"2009-03-01 06:00:00",2
"18208",18208,"2009-03-01 07:00:00",6
"18209",18209,"2009-03-01 08:00:00",1
"18210",18210,"2009-03-01 09:00:00",10
"18211",18211,"2009-03-01 10:00:00",13
"18212",18212,"2009-03-01 11:00:00",12
"18213",18213,"2009-03-01 12:00:00",12
"18214",18214,"2009-03-01 13:00:00",13
"18215",18215,"2009-03-01 14:00:00",9
"18216",18216,"2009-03-01 15:00:00",11
"18217",18217,"2009-03-01 16:00:00",11
"18218",18218,"2009-03-01 17:00:00",23
"18219",18219,"2009-03-01 18:00:00",10
"18220",18220,"2009-03-01 19:00:00",16
"18221",18221,"2009-03-01 20:00:00",16
"18222",18222,"2009-03-01 21:00:00",11
"18223",18223,"2009-03-01 22:00:00",7
"18224",18224,"2009-03-01 23:00:00",9
"18225",18225,"2009-03-02 00:00:00",28
"18226",18226,"2009-03-02 01:00:00",3
"18227",18227,"2009-03-02 02:00:00",2
"18228",18228,"2009-03-02 03:00:00",2
"18229",18229,"2009-03-02 04:00:00",4
"18230",18230,"2009-03-02 05:00:00",7
"18231",18231,"2009-03-02 06:00:00",9
"18232",18232,"2009-03-02 07:00:00",12
"18233",18233,"2009-03-02 08:00:00",9
"18234",18234,"2009-03-02 09:00:00",11
"18235",18235,"2009-03-02 10:00:00",6
"18236",18236,"2009-03-02 11:00:00",21
"18237",18237,"2009-03-02 12:00:00",17
"18238",18238,"2009-03-02 13:00:00",23
"18239",18239,"2009-03-02 14:00:00",15
"18240",18240,"2009-03-02 15:00:00",17
"18241",18241,"2009-03-02 16:00:00",19
"18242",18242,"2009-03-02 17:00:00",16
"18243",18243,"2009-03-02 18:00:00",8
"18244",18244,"2009-03-02 19:00:00",22
"18245",18245,"2009-03-02 20:00:00",10
"18246",18246,"2009-03-02 21:00:00",14
"18247",18247,"2009-03-02 22:00:00",13
"18248",18248,"2009-03-02 23:00:00",12
"18249",18249,"2009-03-03 00:00:00",25
"18250",18250,"2009-03-03 01:00:00",5
"18251",18251,"2009-03-03 02:00:00",3
"18252",18252,"2009-03-03 03:00:00",4
"18253",18253,"2009-03-03 04:00:00",0
"18254",18254,"2009-03-03 05:00:00",8
"18255",18255,"2009-03-03 06:00:00",13
"18256",18256,"2009-03-03 07:00:00",12
"18257",18257,"2009-03-03 08:00:00",18
"18258",18258,"2009-03-03 09:00:00",17
"18259",18259,"2009-03-03 10:00:00",15
"18260",18260,"2009-03-03 11:00:00",23
"18261",18261,"2009-03-03 12:00:00",17
"18262",18262,"2009-03-03 13:00:00",9
"18263",18263,"2009-03-03 14:00:00",14
"18264",18264,"2009-03-03 15:00:00",26
"18265",18265,"2009-03-03 16:00:00",17
"18266",18266,"2009-03-03 17:00:00",18
"18267",18267,"2009-03-03 18:00:00",16
"18268",18268,"2009-03-03 19:00:00",13
"18269",18269,"2009-03-03 20:00:00",15
"18270",18270,"2009-03-03 21:00:00",15
"18271",18271,"2009-03-03 22:00:00",23
"18272",18272,"2009-03-03 23:00:00",11
"18273",18273,"2009-03-04 00:00:00",13
"18274",18274,"2009-03-04 01:00:00",1
"18275",18275,"2009-03-04 02:00:00",3
"18276",18276,"2009-03-04 03:00:00",5
"18277",18277,"2009-03-04 04:00:00",4
"18278",18278,"2009-03-04 05:00:00",7
"18279",18279,"2009-03-04 06:00:00",5
"18280",18280,"2009-03-04 07:00:00",9
"18281",18281,"2009-03-04 08:00:00",15
"18282",18282,"2009-03-04 09:00:00",15
"18283",18283,"2009-03-04 10:00:00",20
"18284",18284,"2009-03-04 11:00:00",15
"18285",18285,"2009-03-04 12:00:00",25
"18286",18286,"2009-03-04 13:00:00",22
"18287",18287,"2009-03-04 14:00:00",22
"18288",18288,"2009-03-04 15:00:00",21
"18289",18289,"2009-03-04 16:00:00",20
"18290",18290,"2009-03-04 17:00:00",21
"18291",18291,"2009-03-04 18:00:00",9
"18292",18292,"2009-03-04 19:00:00",13
"18293",18293,"2009-03-04 20:00:00",15
"18294",18294,"2009-03-04 21:00:00",12
"18295",18295,"2009-03-04 22:00:00",18
"18296",18296,"2009-03-04 23:00:00",8
"18297",18297,"2009-03-05 00:00:00",11
"18298",18298,"2009-03-05 01:00:00",2
"18299",18299,"2009-03-05 02:00:00",2
"18300",18300,"2009-03-05 03:00:00",0
"18301",18301,"2009-03-05 04:00:00",2
"18302",18302,"2009-03-05 05:00:00",2
"18303",18303,"2009-03-05 06:00:00",3
"18304",18304,"2009-03-05 07:00:00",15
"18305",18305,"2009-03-05 08:00:00",20
"18306",18306,"2009-03-05 09:00:00",13
"18307",18307,"2009-03-05 10:00:00",16
"18308",18308,"2009-03-05 11:00:00",18
"18309",18309,"2009-03-05 12:00:00",14
"18310",18310,"2009-03-05 13:00:00",17
"18311",18311,"2009-03-05 14:00:00",18
"18312",18312,"2009-03-05 15:00:00",23
"18313",18313,"2009-03-05 16:00:00",14
"18314",18314,"2009-03-05 17:00:00",19
"18315",18315,"2009-03-05 18:00:00",18
"18316",18316,"2009-03-05 19:00:00",5
"18317",18317,"2009-03-05 20:00:00",6
"18318",18318,"2009-03-05 21:00:00",10
"18319",18319,"2009-03-05 22:00:00",15
"18320",18320,"2009-03-05 23:00:00",10
"18321",18321,"2009-03-06 00:00:00",16
"18322",18322,"2009-03-06 01:00:00",4
"18323",18323,"2009-03-06 02:00:00",0
"18324",18324,"2009-03-06 03:00:00",3
"18325",18325,"2009-03-06 04:00:00",0
"18326",18326,"2009-03-06 05:00:00",5
"18327",18327,"2009-03-06 06:00:00",7
"18328",18328,"2009-03-06 07:00:00",9
"18329",18329,"2009-03-06 08:00:00",8
"18330",18330,"2009-03-06 09:00:00",13
"18331",18331,"2009-03-06 10:00:00",27
"18332",18332,"2009-03-06 11:00:00",13
"18333",18333,"2009-03-06 12:00:00",13
"18334",18334,"2009-03-06 13:00:00",22
"18335",18335,"2009-03-06 14:00:00",16
"18336",18336,"2009-03-06 15:00:00",22
"18337",18337,"2009-03-06 16:00:00",12
"18338",18338,"2009-03-06 17:00:00",21
"18339",18339,"2009-03-06 18:00:00",12
"18340",18340,"2009-03-06 19:00:00",15
"18341",18341,"2009-03-06 20:00:00",20
"18342",18342,"2009-03-06 21:00:00",4
"18343",18343,"2009-03-06 22:00:00",9
"18344",18344,"2009-03-06 23:00:00",10
"18345",18345,"2009-03-07 00:00:00",13
"18346",18346,"2009-03-07 01:00:00",7
"18347",18347,"2009-03-07 02:00:00",1
"18348",18348,"2009-03-07 03:00:00",2
"18349",18349,"2009-03-07 04:00:00",3
"18350",18350,"2009-03-07 05:00:00",5
"18351",18351,"2009-03-07 06:00:00",1
"18352",18352,"2009-03-07 07:00:00",6
"18353",18353,"2009-03-07 08:00:00",10
"18354",18354,"2009-03-07 09:00:00",12
"18355",18355,"2009-03-07 10:00:00",14
"18356",18356,"2009-03-07 11:00:00",21
"18357",18357,"2009-03-07 12:00:00",8
"18358",18358,"2009-03-07 13:00:00",13
"18359",18359,"2009-03-07 14:00:00",20
"18360",18360,"2009-03-07 15:00:00",8
"18361",18361,"2009-03-07 16:00:00",9
"18362",18362,"2009-03-07 17:00:00",7
"18363",18363,"2009-03-07 18:00:00",9
"18364",18364,"2009-03-07 19:00:00",14
"18365",18365,"2009-03-07 20:00:00",9
"18366",18366,"2009-03-07 21:00:00",6
"18367",18367,"2009-03-07 22:00:00",9
"18368",18368,"2009-03-07 23:00:00",6
"18369",18369,"2009-03-08 00:00:00",18
"18370",18370,"2009-03-08 01:00:00",1
"18371",18371,"2009-03-08 02:00:00",0
"18372",18372,"2009-03-08 03:00:00",5
"18373",18373,"2009-03-08 04:00:00",2
"18374",18374,"2009-03-08 05:00:00",1
"18375",18375,"2009-03-08 06:00:00",3
"18376",18376,"2009-03-08 07:00:00",3
"18377",18377,"2009-03-08 08:00:00",11
"18378",18378,"2009-03-08 09:00:00",2
"18379",18379,"2009-03-08 10:00:00",5
"18380",18380,"2009-03-08 11:00:00",9
"18381",18381,"2009-03-08 12:00:00",9
"18382",18382,"2009-03-08 13:00:00",3
"18383",18383,"2009-03-08 14:00:00",15
"18384",18384,"2009-03-08 15:00:00",8
"18385",18385,"2009-03-08 16:00:00",6
"18386",18386,"2009-03-08 17:00:00",8
"18387",18387,"2009-03-08 18:00:00",15
"18388",18388,"2009-03-08 19:00:00",28
"18389",18389,"2009-03-08 20:00:00",23
"18390",18390,"2009-03-08 21:00:00",20
"18391",18391,"2009-03-08 22:00:00",15
"18392",18392,"2009-03-08 23:00:00",14
"18393",18393,"2009-03-09 00:00:00",14
"18394",18394,"2009-03-09 01:00:00",5
"18395",18395,"2009-03-09 02:00:00",2
"18396",18396,"2009-03-09 03:00:00",1
"18397",18397,"2009-03-09 04:00:00",1
"18398",18398,"2009-03-09 05:00:00",2
"18399",18399,"2009-03-09 06:00:00",6
"18400",18400,"2009-03-09 07:00:00",4
