"","X","t","n"
"19665",19665,"2009-05-01 00:00:00",67
"19666",19666,"2009-05-01 01:00:00",17
"19667",19667,"2009-05-01 02:00:00",6
"19668",19668,"2009-05-01 03:00:00",3
"19669",19669,"2009-05-01 04:00:00",2
"19670",19670,"2009-05-01 05:00:00",9
"19671",19671,"2009-05-01 06:00:00",12
"19672",19672,"2009-05-01 07:00:00",14
"19673",19673,"2009-05-01 08:00:00",35
"19674",19674,"2009-05-01 09:00:00",48
"19675",19675,"2009-05-01 10:00:00",67
"19676",19676,"2009-05-01 11:00:00",69
"19677",19677,"2009-05-01 12:00:00",62
"19678",19678,"2009-05-01 13:00:00",61
"19679",19679,"2009-05-01 14:00:00",57
"19680",19680,"2009-05-01 15:00:00",53
"19681",19681,"2009-05-01 16:00:00",47
"19682",19682,"2009-05-01 17:00:00",41
"19683",19683,"2009-05-01 18:00:00",52
"19684",19684,"2009-05-01 19:00:00",40
"19685",19685,"2009-05-01 20:00:00",52
"19686",19686,"2009-05-01 21:00:00",39
"19687",19687,"2009-05-01 22:00:00",35
"19688",19688,"2009-05-01 23:00:00",27
"19689",19689,"2009-05-02 00:00:00",68
"19690",19690,"2009-05-02 01:00:00",29
"19691",19691,"2009-05-02 02:00:00",8
"19692",19692,"2009-05-02 03:00:00",4
"19693",19693,"2009-05-02 04:00:00",11
"19694",19694,"2009-05-02 05:00:00",5
"19695",19695,"2009-05-02 06:00:00",9
"19696",19696,"2009-05-02 07:00:00",14
"19697",19697,"2009-05-02 08:00:00",21
"19698",19698,"2009-05-02 09:00:00",24
"19699",19699,"2009-05-02 10:00:00",28
"19700",19700,"2009-05-02 11:00:00",40
"19701",19701,"2009-05-02 12:00:00",40
"19702",19702,"2009-05-02 13:00:00",40
"19703",19703,"2009-05-02 14:00:00",41
"19704",19704,"2009-05-02 15:00:00",41
"19705",19705,"2009-05-02 16:00:00",39
"19706",19706,"2009-05-02 17:00:00",39
"19707",19707,"2009-05-02 18:00:00",42
"19708",19708,"2009-05-02 19:00:00",51
"19709",19709,"2009-05-02 20:00:00",47
"19710",19710,"2009-05-02 21:00:00",50
"19711",19711,"2009-05-02 22:00:00",48
"19712",19712,"2009-05-02 23:00:00",30
"19713",19713,"2009-05-03 00:00:00",95
"19714",19714,"2009-05-03 01:00:00",28
"19715",19715,"2009-05-03 02:00:00",8
"19716",19716,"2009-05-03 03:00:00",6
"19717",19717,"2009-05-03 04:00:00",7
"19718",19718,"2009-05-03 05:00:00",7
"19719",19719,"2009-05-03 06:00:00",8
"19720",19720,"2009-05-03 07:00:00",9
"19721",19721,"2009-05-03 08:00:00",11
"19722",19722,"2009-05-03 09:00:00",24
"19723",19723,"2009-05-03 10:00:00",36
"19724",19724,"2009-05-03 11:00:00",59
"19725",19725,"2009-05-03 12:00:00",45
"19726",19726,"2009-05-03 13:00:00",34
"19727",19727,"2009-05-03 14:00:00",51
"19728",19728,"2009-05-03 15:00:00",38
"19729",19729,"2009-05-03 16:00:00",47
"19730",19730,"2009-05-03 17:00:00",39
"19731",19731,"2009-05-03 18:00:00",46
"19732",19732,"2009-05-03 19:00:00",55
"19733",19733,"2009-05-03 20:00:00",26
"19734",19734,"2009-05-03 21:00:00",30
"19735",19735,"2009-05-03 22:00:00",25
"19736",19736,"2009-05-03 23:00:00",32
"19737",19737,"2009-05-04 00:00:00",86
"19738",19738,"2009-05-04 01:00:00",16
"19739",19739,"2009-05-04 02:00:00",13
"19740",19740,"2009-05-04 03:00:00",8
"19741",19741,"2009-05-04 04:00:00",4
"19742",19742,"2009-05-04 05:00:00",7
"19743",19743,"2009-05-04 06:00:00",13
"19744",19744,"2009-05-04 07:00:00",23
"19745",19745,"2009-05-04 08:00:00",42
"19746",19746,"2009-05-04 09:00:00",53
"19747",19747,"2009-05-04 10:00:00",59
"19748",19748,"2009-05-04 11:00:00",45
"19749",19749,"2009-05-04 12:00:00",57
"19750",19750,"2009-05-04 13:00:00",39
"19751",19751,"2009-05-04 14:00:00",62
"19752",19752,"2009-05-04 15:00:00",69
"19753",19753,"2009-05-04 16:00:00",78
"19754",19754,"2009-05-04 17:00:00",70
"19755",19755,"2009-05-04 18:00:00",52
"19756",19756,"2009-05-04 19:00:00",43
"19757",19757,"2009-05-04 20:00:00",77
"19758",19758,"2009-05-04 21:00:00",55
"19759",19759,"2009-05-04 22:00:00",35
"19760",19760,"2009-05-04 23:00:00",29
"19761",19761,"2009-05-05 00:00:00",103
"19762",19762,"2009-05-05 01:00:00",18
"19763",19763,"2009-05-05 02:00:00",14
"19764",19764,"2009-05-05 03:00:00",9
"19765",19765,"2009-05-05 04:00:00",3
"19766",19766,"2009-05-05 05:00:00",12
"19767",19767,"2009-05-05 06:00:00",11
"19768",19768,"2009-05-05 07:00:00",21
"19769",19769,"2009-05-05 08:00:00",53
"19770",19770,"2009-05-05 09:00:00",57
"19771",19771,"2009-05-05 10:00:00",59
"19772",19772,"2009-05-05 11:00:00",58
"19773",19773,"2009-05-05 12:00:00",65
"19774",19774,"2009-05-05 13:00:00",67
"19775",19775,"2009-05-05 14:00:00",52
"19776",19776,"2009-05-05 15:00:00",61
"19777",19777,"2009-05-05 16:00:00",61
"19778",19778,"2009-05-05 17:00:00",59
"19779",19779,"2009-05-05 18:00:00",75
"19780",19780,"2009-05-05 19:00:00",61
"19781",19781,"2009-05-05 20:00:00",57
"19782",19782,"2009-05-05 21:00:00",37
"19783",19783,"2009-05-05 22:00:00",52
"19784",19784,"2009-05-05 23:00:00",28
"19785",19785,"2009-05-06 00:00:00",79
"19786",19786,"2009-05-06 01:00:00",20
"19787",19787,"2009-05-06 02:00:00",8
"19788",19788,"2009-05-06 03:00:00",4
"19789",19789,"2009-05-06 04:00:00",2
"19790",19790,"2009-05-06 05:00:00",8
"19791",19791,"2009-05-06 06:00:00",19
"19792",19792,"2009-05-06 07:00:00",25
"19793",19793,"2009-05-06 08:00:00",35
"19794",19794,"2009-05-06 09:00:00",47
"19795",19795,"2009-05-06 10:00:00",77
"19796",19796,"2009-05-06 11:00:00",150
"19797",19797,"2009-05-06 12:00:00",69
"19798",19798,"2009-05-06 13:00:00",67
"19799",19799,"2009-05-06 14:00:00",83
"19800",19800,"2009-05-06 15:00:00",59
"19801",19801,"2009-05-06 16:00:00",68
"19802",19802,"2009-05-06 17:00:00",42
"19803",19803,"2009-05-06 18:00:00",60
"19804",19804,"2009-05-06 19:00:00",52
"19805",19805,"2009-05-06 20:00:00",77
