"","t","n"
"24081","2009-11-01 00:00:00",1307
"24082","2009-11-01 01:00:00",911
"24083","2009-11-01 02:00:00",334
"24084","2009-11-01 03:00:00",237
"24085","2009-11-01 04:00:00",193
"24086","2009-11-01 05:00:00",175
"24087","2009-11-01 06:00:00",205
"24088","2009-11-01 07:00:00",345
"24089","2009-11-01 08:00:00",460
"24090","2009-11-01 09:00:00",656
"24091","2009-11-01 10:00:00",673
"24092","2009-11-01 11:00:00",723
"24093","2009-11-01 12:00:00",878
"24094","2009-11-01 13:00:00",805
"24095","2009-11-01 14:00:00",876
"24096","2009-11-01 15:00:00",881
"24097","2009-11-01 16:00:00",844
"24098","2009-11-01 17:00:00",850
"24099","2009-11-01 18:00:00",843
"24100","2009-11-01 19:00:00",1079
"24101","2009-11-01 20:00:00",1009
"24102","2009-11-01 21:00:00",954
"24103","2009-11-01 22:00:00",1028
"24104","2009-11-01 23:00:00",568
"24105","2009-11-02 00:00:00",1124
"24106","2009-11-02 01:00:00",295
"24107","2009-11-02 02:00:00",308
"24108","2009-11-02 03:00:00",146
"24109","2009-11-02 04:00:00",186
"24110","2009-11-02 05:00:00",289
"24111","2009-11-02 06:00:00",406
"24112","2009-11-02 07:00:00",664
"24113","2009-11-02 08:00:00",912
"24114","2009-11-02 09:00:00",1155
"24115","2009-11-02 10:00:00",1315
"24116","2009-11-02 11:00:00",1390
"24117","2009-11-02 12:00:00",1590
"24118","2009-11-02 13:00:00",1556
"24119","2009-11-02 14:00:00",1499
"24120","2009-11-02 15:00:00",1485
"24121","2009-11-02 16:00:00",1508
"24122","2009-11-02 17:00:00",1321
"24123","2009-11-02 18:00:00",1322
"24124","2009-11-02 19:00:00",1372
"24125","2009-11-02 20:00:00",1379
"24126","2009-11-02 21:00:00",1281
"24127","2009-11-02 22:00:00",1126
"24128","2009-11-02 23:00:00",905
"24129","2009-11-03 00:00:00",1473
"24130","2009-11-03 01:00:00",497
"24131","2009-11-03 02:00:00",298
"24132","2009-11-03 03:00:00",255
"24133","2009-11-03 04:00:00",200
"24134","2009-11-03 05:00:00",312
"24135","2009-11-03 06:00:00",421
"24136","2009-11-03 07:00:00",738
"24137","2009-11-03 08:00:00",1156
"24138","2009-11-03 09:00:00",1313
"24139","2009-11-03 10:00:00",1589
"24140","2009-11-03 11:00:00",1654
"24141","2009-11-03 12:00:00",1559
"24142","2009-11-03 13:00:00",1658
"24143","2009-11-03 14:00:00",1537
"24144","2009-11-03 15:00:00",1714
"24145","2009-11-03 16:00:00",1509
"24146","2009-11-03 17:00:00",1520
"24147","2009-11-03 18:00:00",1563
"24148","2009-11-03 19:00:00",1551
"24149","2009-11-03 20:00:00",1461
"24150","2009-11-03 21:00:00",1471
"24151","2009-11-03 22:00:00",1207
"24152","2009-11-03 23:00:00",968
"24153","2009-11-04 00:00:00",1399
"24154","2009-11-04 01:00:00",536
"24155","2009-11-04 02:00:00",358
"24156","2009-11-04 03:00:00",247
"24157","2009-11-04 04:00:00",223
"24158","2009-11-04 05:00:00",311
"24159","2009-11-04 06:00:00",493
"24160","2009-11-04 07:00:00",765
"24161","2009-11-04 08:00:00",1187
"24162","2009-11-04 09:00:00",1394
"24163","2009-11-04 10:00:00",1731
"24164","2009-11-04 11:00:00",1873
"24165","2009-11-04 12:00:00",1821
"24166","2009-11-04 13:00:00",1974
"24167","2009-11-04 14:00:00",1808
"24168","2009-11-04 15:00:00",1900
"24169","2009-11-04 16:00:00",1735
"24170","2009-11-04 17:00:00",1561
"24171","2009-11-04 18:00:00",1574
"24172","2009-11-04 19:00:00",1591
"24173","2009-11-04 20:00:00",1701
"24174","2009-11-04 21:00:00",1712
"24175","2009-11-04 22:00:00",1681
"24176","2009-11-04 23:00:00",1351
"24177","2009-11-05 00:00:00",1515
"24178","2009-11-05 01:00:00",596
"24179","2009-11-05 02:00:00",410
"24180","2009-11-05 03:00:00",301
"24181","2009-11-05 04:00:00",237
"24182","2009-11-05 05:00:00",336
"24183","2009-11-05 06:00:00",530
"24184","2009-11-05 07:00:00",854
"24185","2009-11-05 08:00:00",1327
"24186","2009-11-05 09:00:00",1726
"24187","2009-11-05 10:00:00",1864
"24188","2009-11-05 11:00:00",1940
"24189","2009-11-05 12:00:00",2037
"24190","2009-11-05 13:00:00",2070
"24191","2009-11-05 14:00:00",2013
"24192","2009-11-05 15:00:00",2129
