"","t","n"
"23337","2009-10-01 00:00:00",771
"23338","2009-10-01 01:00:00",155
"23339","2009-10-01 02:00:00",101
"23340","2009-10-01 03:00:00",98
"23341","2009-10-01 04:00:00",69
"23342","2009-10-01 05:00:00",96
"23343","2009-10-01 06:00:00",156
"23344","2009-10-01 07:00:00",244
"23345","2009-10-01 08:00:00",374
"23346","2009-10-01 09:00:00",415
"23347","2009-10-01 10:00:00",531
"23348","2009-10-01 11:00:00",564
"23349","2009-10-01 12:00:00",627
"23350","2009-10-01 13:00:00",582
"23351","2009-10-01 14:00:00",518
"23352","2009-10-01 15:00:00",455
"23353","2009-10-01 16:00:00",501
"23354","2009-10-01 17:00:00",516
"23355","2009-10-01 18:00:00",463
"23356","2009-10-01 19:00:00",554
"23357","2009-10-01 20:00:00",442
"23358","2009-10-01 21:00:00",430
"23359","2009-10-01 22:00:00",454
"23360","2009-10-01 23:00:00",311
"23361","2009-10-02 00:00:00",755
"23362","2009-10-02 01:00:00",214
"23363","2009-10-02 02:00:00",122
"23364","2009-10-02 03:00:00",137
"23365","2009-10-02 04:00:00",101
"23366","2009-10-02 05:00:00",118
"23367","2009-10-02 06:00:00",145
"23368","2009-10-02 07:00:00",239
"23369","2009-10-02 08:00:00",401
"23370","2009-10-02 09:00:00",533
"23371","2009-10-02 10:00:00",669
"23372","2009-10-02 11:00:00",643
"23373","2009-10-02 12:00:00",674
"23374","2009-10-02 13:00:00",619
"23375","2009-10-02 14:00:00",486
"23376","2009-10-02 15:00:00",542
"23377","2009-10-02 16:00:00",594
"23378","2009-10-02 17:00:00",538
"23379","2009-10-02 18:00:00",492
"23380","2009-10-02 19:00:00",475
"23381","2009-10-02 20:00:00",530
"23382","2009-10-02 21:00:00",490
"23383","2009-10-02 22:00:00",371
"23384","2009-10-02 23:00:00",326
"23385","2009-10-03 00:00:00",752
"23386","2009-10-03 01:00:00",194
"23387","2009-10-03 02:00:00",135
"23388","2009-10-03 03:00:00",136
"23389","2009-10-03 04:00:00",72
"23390","2009-10-03 05:00:00",86
"23391","2009-10-03 06:00:00",112
"23392","2009-10-03 07:00:00",166
"23393","2009-10-03 08:00:00",214
"23394","2009-10-03 09:00:00",306
"23395","2009-10-03 10:00:00",363
"23396","2009-10-03 11:00:00",371
"23397","2009-10-03 12:00:00",388
"23398","2009-10-03 13:00:00",438
"23399","2009-10-03 14:00:00",453
"23400","2009-10-03 15:00:00",384
"23401","2009-10-03 16:00:00",376
"23402","2009-10-03 17:00:00",394
"23403","2009-10-03 18:00:00",449
"23404","2009-10-03 19:00:00",439
"23405","2009-10-03 20:00:00",391
"23406","2009-10-03 21:00:00",309
"23407","2009-10-03 22:00:00",338
"23408","2009-10-03 23:00:00",309
"23409","2009-10-04 00:00:00",772
"23410","2009-10-04 01:00:00",174
"23411","2009-10-04 02:00:00",171
"23412","2009-10-04 03:00:00",128
"23413","2009-10-04 04:00:00",67
"23414","2009-10-04 05:00:00",88
"23415","2009-10-04 06:00:00",88
"23416","2009-10-04 07:00:00",127
"23417","2009-10-04 08:00:00",203
"23418","2009-10-04 09:00:00",281
"23419","2009-10-04 10:00:00",323
"23420","2009-10-04 11:00:00",398
"23421","2009-10-04 12:00:00",419
"23422","2009-10-04 13:00:00",446
"23423","2009-10-04 14:00:00",460
"23424","2009-10-04 15:00:00",387
"23425","2009-10-04 16:00:00",366
"23426","2009-10-04 17:00:00",425
"23427","2009-10-04 18:00:00",451
"23428","2009-10-04 19:00:00",486
"23429","2009-10-04 20:00:00",436
"23430","2009-10-04 21:00:00",452
"23431","2009-10-04 22:00:00",464
"23432","2009-10-04 23:00:00",344
"23433","2009-10-05 00:00:00",908
"23434","2009-10-05 01:00:00",175
"23435","2009-10-05 02:00:00",138
"23436","2009-10-05 03:00:00",100
"23437","2009-10-05 04:00:00",92
"23438","2009-10-05 05:00:00",107
"23439","2009-10-05 06:00:00",142
"23440","2009-10-05 07:00:00",217
"23441","2009-10-05 08:00:00",383
"23442","2009-10-05 09:00:00",468
"23443","2009-10-05 10:00:00",582
"23444","2009-10-05 11:00:00",633
"23445","2009-10-05 12:00:00",664
"23446","2009-10-05 13:00:00",571
"23447","2009-10-05 14:00:00",560
"23448","2009-10-05 15:00:00",618
"23449","2009-10-05 16:00:00",558
"23450","2009-10-05 17:00:00",550
"23451","2009-10-05 18:00:00",528
"23452","2009-10-05 19:00:00",523
"23453","2009-10-05 20:00:00",569
"23454","2009-10-05 21:00:00",586
"23455","2009-10-05 22:00:00",501
"23456","2009-10-05 23:00:00",375
"23457","2009-10-06 00:00:00",959
"23458","2009-10-06 01:00:00",209
"23459","2009-10-06 02:00:00",122
"23460","2009-10-06 03:00:00",132
"23461","2009-10-06 04:00:00",112
"23462","2009-10-06 05:00:00",132
"23463","2009-10-06 06:00:00",188
"23464","2009-10-06 07:00:00",295
"23465","2009-10-06 08:00:00",434
"23466","2009-10-06 09:00:00",529
"23467","2009-10-06 10:00:00",550
"23468","2009-10-06 11:00:00",572
"23469","2009-10-06 12:00:00",580
"23470","2009-10-06 13:00:00",564
"23471","2009-10-06 14:00:00",573
"23472","2009-10-06 15:00:00",605
"23473","2009-10-06 16:00:00",540
"23474","2009-10-06 17:00:00",492
"23475","2009-10-06 18:00:00",596
"23476","2009-10-06 19:00:00",622
"23477","2009-10-06 20:00:00",681
"23478","2009-10-06 21:00:00",552
"23479","2009-10-06 22:00:00",529
"23480","2009-10-06 23:00:00",445
"23481","2009-10-07 00:00:00",845
"23482","2009-10-07 01:00:00",219
"23483","2009-10-07 02:00:00",139
"23484","2009-10-07 03:00:00",90
"23485","2009-10-07 04:00:00",86
"23486","2009-10-07 05:00:00",102
"23487","2009-10-07 06:00:00",212
"23488","2009-10-07 07:00:00",298
"23489","2009-10-07 08:00:00",473
"23490","2009-10-07 09:00:00",525
"23491","2009-10-07 10:00:00",621
"23492","2009-10-07 11:00:00",695
"23493","2009-10-07 12:00:00",721
"23494","2009-10-07 13:00:00",638
"23495","2009-10-07 14:00:00",680
"23496","2009-10-07 15:00:00",650
"23497","2009-10-07 16:00:00",642
"23498","2009-10-07 17:00:00",506
"23499","2009-10-07 18:00:00",563
"23500","2009-10-07 19:00:00",618
"23501","2009-10-07 20:00:00",589
"23502","2009-10-07 21:00:00",549
"23503","2009-10-07 22:00:00",452
"23504","2009-10-07 23:00:00",413
"23505","2009-10-08 00:00:00",865
"23506","2009-10-08 01:00:00",254
"23507","2009-10-08 02:00:00",172
"23508","2009-10-08 03:00:00",124
"23509","2009-10-08 04:00:00",115
"23510","2009-10-08 05:00:00",115
"23511","2009-10-08 06:00:00",203
"23512","2009-10-08 07:00:00",314
"23513","2009-10-08 08:00:00",392
"23514","2009-10-08 09:00:00",523
"23515","2009-10-08 10:00:00",497
"23516","2009-10-08 11:00:00",497
"23517","2009-10-08 12:00:00",488
"23518","2009-10-08 13:00:00",653
"23519","2009-10-08 14:00:00",650
"23520","2009-10-08 15:00:00",631
"23521","2009-10-08 16:00:00",664
"23522","2009-10-08 17:00:00",549
"23523","2009-10-08 18:00:00",578
"23524","2009-10-08 19:00:00",586
"23525","2009-10-08 20:00:00",666
"23526","2009-10-08 21:00:00",546
"23527","2009-10-08 22:00:00",505
"23528","2009-10-08 23:00:00",425
"23529","2009-10-09 00:00:00",885
"23530","2009-10-09 01:00:00",252
"23531","2009-10-09 02:00:00",157
"23532","2009-10-09 03:00:00",119
"23533","2009-10-09 04:00:00",115
"23534","2009-10-09 05:00:00",126
"23535","2009-10-09 06:00:00",221
"23536","2009-10-09 07:00:00",321
"23537","2009-10-09 08:00:00",444
"23538","2009-10-09 09:00:00",563
"23539","2009-10-09 10:00:00",743
"23540","2009-10-09 11:00:00",675
"23541","2009-10-09 12:00:00",715
"23542","2009-10-09 13:00:00",721
"23543","2009-10-09 14:00:00",684
"23544","2009-10-09 15:00:00",612
"23545","2009-10-09 16:00:00",629
"23546","2009-10-09 17:00:00",609
"23547","2009-10-09 18:00:00",560
"23548","2009-10-09 19:00:00",523
"23549","2009-10-09 20:00:00",557
"23550","2009-10-09 21:00:00",575
"23551","2009-10-09 22:00:00",513
"23552","2009-10-09 23:00:00",416
"23553","2009-10-10 00:00:00",779
"23554","2009-10-10 01:00:00",243
"23555","2009-10-10 02:00:00",192
"23556","2009-10-10 03:00:00",164
"23557","2009-10-10 04:00:00",119
"23558","2009-10-10 05:00:00",98
"23559","2009-10-10 06:00:00",94
"23560","2009-10-10 07:00:00",183
"23561","2009-10-10 08:00:00",224
"23562","2009-10-10 09:00:00",380
"23563","2009-10-10 10:00:00",440
"23564","2009-10-10 11:00:00",510
"23565","2009-10-10 12:00:00",476
"23566","2009-10-10 13:00:00",443
"23567","2009-10-10 14:00:00",418
"23568","2009-10-10 15:00:00",418
"23569","2009-10-10 16:00:00",461
"23570","2009-10-10 17:00:00",458
"23571","2009-10-10 18:00:00",493
"23572","2009-10-10 19:00:00",454
"23573","2009-10-10 20:00:00",482
"23574","2009-10-10 21:00:00",469
"23575","2009-10-10 22:00:00",459
"23576","2009-10-10 23:00:00",360
"23577","2009-10-11 00:00:00",986
"23578","2009-10-11 01:00:00",231
"23579","2009-10-11 02:00:00",164
"23580","2009-10-11 03:00:00",159
"23581","2009-10-11 04:00:00",111
"23582","2009-10-11 05:00:00",105
"23583","2009-10-11 06:00:00",90
"23584","2009-10-11 07:00:00",127
"23585","2009-10-11 08:00:00",176
"23586","2009-10-11 09:00:00",243
"23587","2009-10-11 10:00:00",342
"23588","2009-10-11 11:00:00",427
"23589","2009-10-11 12:00:00",554
"23590","2009-10-11 13:00:00",517
"23591","2009-10-11 14:00:00",573
"23592","2009-10-11 15:00:00",594
"23593","2009-10-11 16:00:00",441
"23594","2009-10-11 17:00:00",427
"23595","2009-10-11 18:00:00",495
"23596","2009-10-11 19:00:00",440
"23597","2009-10-11 20:00:00",494
"23598","2009-10-11 21:00:00",498
"23599","2009-10-11 22:00:00",534
"23600","2009-10-11 23:00:00",478
"23601","2009-10-12 00:00:00",908
"23602","2009-10-12 01:00:00",261
"23603","2009-10-12 02:00:00",191
"23604","2009-10-12 03:00:00",135
"23605","2009-10-12 04:00:00",120
"23606","2009-10-12 05:00:00",111
"23607","2009-10-12 06:00:00",216
"23608","2009-10-12 07:00:00",257
"23609","2009-10-12 08:00:00",410
"23610","2009-10-12 09:00:00",608
"23611","2009-10-12 10:00:00",668
"23612","2009-10-12 11:00:00",613
"23613","2009-10-12 12:00:00",641
"23614","2009-10-12 13:00:00",636
"23615","2009-10-12 14:00:00",602
"23616","2009-10-12 15:00:00",675
"23617","2009-10-12 16:00:00",635
"23618","2009-10-12 17:00:00",515
"23619","2009-10-12 18:00:00",562
"23620","2009-10-12 19:00:00",633
"23621","2009-10-12 20:00:00",706
"23622","2009-10-12 21:00:00",590
"23623","2009-10-12 22:00:00",567
"23624","2009-10-12 23:00:00",458
"23625","2009-10-13 00:00:00",957
"23626","2009-10-13 01:00:00",297
"23627","2009-10-13 02:00:00",167
