"","t","n"
"22617","2009-09-01 00:00:00",475
"22618","2009-09-01 01:00:00",114
"22619","2009-09-01 02:00:00",99
"22620","2009-09-01 03:00:00",91
"22621","2009-09-01 04:00:00",88
"22622","2009-09-01 05:00:00",67
"22623","2009-09-01 06:00:00",132
"22624","2009-09-01 07:00:00",174
"22625","2009-09-01 08:00:00",266
"22626","2009-09-01 09:00:00",328
"22627","2009-09-01 10:00:00",405
"22628","2009-09-01 11:00:00",400
"22629","2009-09-01 12:00:00",394
"22630","2009-09-01 13:00:00",383
"22631","2009-09-01 14:00:00",375
"22632","2009-09-01 15:00:00",531
"22633","2009-09-01 16:00:00",389
"22634","2009-09-01 17:00:00",346
"22635","2009-09-01 18:00:00",317
"22636","2009-09-01 19:00:00",318
"22637","2009-09-01 20:00:00",355
"22638","2009-09-01 21:00:00",318
"22639","2009-09-01 22:00:00",302
"22640","2009-09-01 23:00:00",264
"22641","2009-09-02 00:00:00",470
"22642","2009-09-02 01:00:00",126
"22643","2009-09-02 02:00:00",84
"22644","2009-09-02 03:00:00",72
"22645","2009-09-02 04:00:00",63
"22646","2009-09-02 05:00:00",75
"22647","2009-09-02 06:00:00",103
"22648","2009-09-02 07:00:00",187
"22649","2009-09-02 08:00:00",286
"22650","2009-09-02 09:00:00",327
"22651","2009-09-02 10:00:00",366
"22652","2009-09-02 11:00:00",362
"22653","2009-09-02 12:00:00",381
"22654","2009-09-02 13:00:00",315
"22655","2009-09-02 14:00:00",366
"22656","2009-09-02 15:00:00",427
"22657","2009-09-02 16:00:00",386
"22658","2009-09-02 17:00:00",330
"22659","2009-09-02 18:00:00",315
"22660","2009-09-02 19:00:00",308
"22661","2009-09-02 20:00:00",394
"22662","2009-09-02 21:00:00",399
"22663","2009-09-02 22:00:00",376
"22664","2009-09-02 23:00:00",274
"22665","2009-09-03 00:00:00",553
"22666","2009-09-03 01:00:00",143
"22667","2009-09-03 02:00:00",113
"22668","2009-09-03 03:00:00",111
"22669","2009-09-03 04:00:00",77
"22670","2009-09-03 05:00:00",89
"22671","2009-09-03 06:00:00",141
"22672","2009-09-03 07:00:00",206
"22673","2009-09-03 08:00:00",293
"22674","2009-09-03 09:00:00",356
"22675","2009-09-03 10:00:00",436
"22676","2009-09-03 11:00:00",411
"22677","2009-09-03 12:00:00",492
"22678","2009-09-03 13:00:00",467
"22679","2009-09-03 14:00:00",449
"22680","2009-09-03 15:00:00",505
"22681","2009-09-03 16:00:00",476
"22682","2009-09-03 17:00:00",478
"22683","2009-09-03 18:00:00",499
"22684","2009-09-03 19:00:00",382
"22685","2009-09-03 20:00:00",386
"22686","2009-09-03 21:00:00",479
"22687","2009-09-03 22:00:00",409
"22688","2009-09-03 23:00:00",355
"22689","2009-09-04 00:00:00",625
"22690","2009-09-04 01:00:00",236
"22691","2009-09-04 02:00:00",141
"22692","2009-09-04 03:00:00",122
